Wall time,Step,Value
1609749691.0578058,4000,-277.90789794921875
1609749755.561713,8000,-279.44671630859375
1609749830.8662405,12000,-333.1042175292969
1609749915.5271878,16000,-351.4612731933594
1609750004.126016,20000,-347.9123229980469
1609750096.6891265,24000,-237.04034423828125
1609750192.780423,28000,-93.25591278076172
1609750293.2905095,32000,34.18658447265625
1609750397.679609,36000,178.60653686523438
1609750506.1045878,40000,316.536376953125
1609750619.3906443,44000,456.98944091796875
1609750734.9192383,48000,582.2661743164062
1609750854.9760916,52000,698.4472045898438
1609750979.7426226,56000,810.2266235351562
1609751107.480095,60000,915.3946533203125
1609751240.600997,64000,933.6328125
1609751376.6112046,68000,1010.584228515625
1609751518.9365811,72000,1093.903076171875
1609751665.6589222,76000,1141.15771484375
1609751815.8915079,80000,1210.368408203125
1609751968.4393194,84000,1264.716064453125
1609752124.639395,88000,1243.146728515625
1609752286.0487068,92000,1287.5447998046875
1609752450.4162219,96000,1319.7305908203125
1609752618.8330035,100000,1379.7713623046875
1609752790.737684,104000,1510.4915771484375
1609752963.9694433,108000,1638.1842041015625
1609753135.9575427,112000,1748.3162841796875
1609753310.0532541,116000,1886.59814453125
1609753482.0253446,120000,2020.5037841796875
1609753654.986684,124000,2131.062255859375
1609753827.625679,128000,2224.156494140625
1609754002.0081863,132000,2322.143310546875
1609754174.6793954,136000,2404.2392578125
1609754347.1087496,140000,2488.0810546875
1609754519.4238584,144000,2560.6083984375
1609754690.8528035,148000,2632.4677734375
1609754864.238009,152000,2706.19287109375
1609755036.3739827,156000,2772.80810546875
1609755208.3977354,160000,2842.628173828125
1609755380.89159,164000,2939.25927734375
1609755552.5194852,168000,3015.264892578125
1609755724.6781824,172000,3037.7490234375
1609755898.0041513,176000,3129.331298828125
1609756070.326679,180000,3203.72900390625
1609756242.2913942,184000,3284.123779296875
1609756414.1326241,188000,3428.8779296875
1609756586.2891808,192000,3509.772216796875
1609756758.4144084,196000,3608.1962890625
1609756930.405401,200000,3679.484375
1609757103.6019888,204000,3744.86328125
1609757276.7847846,208000,3816.8662109375
1609757449.7967896,212000,3910.18701171875
1609757623.580702,216000,3981.906005859375
1609757795.9171948,220000,4048.90771484375
1609757968.105372,224000,4121.4013671875
1609758140.6489348,228000,4191.71240234375
1609758312.0972195,232000,4251.591796875
1609758483.703148,236000,4310.45458984375
1609758657.6294816,240000,4359.2822265625
1609758830.6221106,244000,4411.005859375
1609759003.580373,248000,4459.0390625
1609759176.3064353,252000,4501.5302734375
1609759349.4378319,256000,4542.53125
