Wall time,Step,Value
1609828950.973252,74,44.74681854248047
1609828951.2070985,130,18.711854934692383
1609828951.3350542,170,7.884301662445068
1609828956.7368867,244,67.62325286865234
1609828961.791137,492,177.5241241455078
1609828968.1690795,860,245.3852996826172
1609828973.2407346,1181,197.89781188964844
1609828978.2684562,1470,195.3134765625
1609828983.3356807,1799,196.56472778320312
1609828989.8524756,2135,214.5450439453125
1609828995.0507967,2472,209.38429260253906
1609828999.9859583,2784,195.17604064941406
1609829006.5092356,3119,204.02719116210938
1609829011.6003575,3458,202.06199645996094
1609829016.775076,3799,200.3402099609375
1609829021.3401923,4002,163.40692138671875
1609829023.352429,4172,160.76422119140625
1609829029.7591417,4516,198.5694580078125
1609829034.9999597,4861,197.28526306152344
1609829039.9883404,5167,193.42523193359375
1609829045.1291747,5477,186.2891387939453
1609829051.6384506,5809,195.4597930908203
1609829056.8001626,6144,196.0974578857422
1609829061.9621918,6488,198.59104919433594
1609829066.9764252,6772,196.09866333007812
1609829073.4667275,7110,202.31044006347656
1609829076.8795564,7334,181.75421142578125
1609829082.1387575,7672,199.5557098388672
1609829088.6332953,8013,199.21749877929688
1609829093.9048712,8359,201.94029235839844
1609829097.4081964,8584,178.24949645996094
1609829103.8742704,8932,200.72845458984375
1609829109.0900033,9276,199.86807250976562
1609829114.0924897,9559,192.69882202148438
1609829120.579288,9905,196.28399658203125
1609829125.7519417,10249,198.31268310546875
1609829131.0013924,10596,194.759765625
1609829137.5167942,10941,195.95834350585938
1609829142.7415304,11288,199.4644012451172
1609829149.219437,11630,205.57412719726562
1609829154.3552418,11967,226.37046813964844
1609829160.8114762,12302,215.7312469482422
1609829166.0339112,12638,213.8511505126953
1609829171.2072265,12974,218.53973388671875
1609829177.6901357,13311,218.19131469726562
1609829182.8052416,13644,224.4806365966797
1609829188.0497792,13978,213.92608642578125
1609829194.4380789,14312,211.69003295898438
1609829199.6382551,14645,220.54176330566406
1609829204.948513,14984,215.30978393554688
1609829211.4138238,15323,210.1289825439453
1609829216.6602309,15655,216.4578094482422
1609829221.8214228,15996,210.91331481933594
1609829228.4156344,16337,214.88621520996094
1609829233.687805,16677,210.55662536621094
1609829240.1270773,17018,207.37896728515625
1609829245.2109404,17349,220.92454528808594
1609829250.277294,17661,191.60609436035156
1609829253.4035769,17832,140.4795684814453
1609829256.9386535,18068,193.99925231933594
1609829262.1477172,18399,222.03282165527344
1609829268.691541,18733,216.81919860839844
1609829273.8692737,19069,209.1482391357422
1609829280.3255925,19405,213.34422302246094
