Wall time,Step,Value
1609721822.3842993,530980,4782.36669921875
1609721959.947851,533889,4733.44384765625
1609722135.7320764,537570,4720.06103515625
1609722231.7991107,539551,4610.37646484375
1609722412.359516,543306,4665.8515625
1609722530.8600008,545851,4606.55224609375
1609722636.1322865,548064,4540.18798828125
1609722827.2953324,552052,4547.04248046875
1609722965.8489568,554933,4563.50341796875
1609723149.7994604,558855,4569.56298828125
1609723339.325418,562855,4590.271484375
1609723508.3667443,566493,4583.25439453125
1609723659.789974,569668,4562.765625
1609723768.4159517,571908,4531.6611328125
1609723873.6479595,574179,4484.74560546875
1609724020.8293068,577226,4535.35302734375
1609724145.3420537,579852,4504.65234375
1609724301.6223028,583126,4463.31787109375
1609724373.8914201,584631,4315.0732421875
1609724521.7049296,587776,4343.6611328125
1609724698.8647177,591495,4378.12255859375
1609724880.106229,595271,4382.48583984375
1609725022.5700943,598230,4424.9873046875
1609725198.4398787,601984,4458.220703125
1609725389.5931597,605984,4492.06884765625
1609725522.310587,608768,4346.537109375
1609725684.740044,612107,4370.40234375
1609725861.3009996,615827,4366.017578125
1609725995.7401505,618647,4447.55908203125
1609726138.305586,621639,4407.62353515625
1609726328.0484307,625639,4501.0771484375
1609726457.1212366,628360,4534.38623046875
1609726642.4002807,632299,4531.71435546875
1609726779.7841206,635161,4539.056640625
1609726966.2390804,639096,4536.041015625
1609727156.0244477,643094,4542.53857421875
1609727327.062248,646659,4541.2548828125
1609727516.494198,650628,4601.63623046875
1609727630.9754481,653035,4611.814453125
1609727760.6955357,655761,4639.12744140625
1609727899.3593576,658673,4641.4482421875
1609728004.572039,660837,4606.32275390625
1609728133.4196076,663513,4577.9267578125
1609728305.7003381,667161,4709.19775390625
1609728486.5982485,670928,4750.279296875
1609728568.3608205,672655,4635.47607421875
1609728707.568135,675546,4585.70703125
1609728811.6300507,677703,4537.4267578125
1609728960.1808968,680869,4507.99853515625
1609729150.3352609,684829,4501.283203125
1609729323.832069,688580,4641.9404296875
1609729472.6826959,691690,4636.0888671875
1609729615.4770799,694610,4591.68212890625
1609729772.7663426,697920,4614.7265625
1609729944.7856615,701510,4651.8828125
1609730084.194585,704490,4591.29931640625
1609730184.793968,706514,4546.0791015625
1609730365.4276245,710344,4468.34912109375
1609730502.9638333,713256,4470.90087890625
1609730650.210294,716357,4429.13037109375
1609730801.8153687,719584,4368.85302734375
1609730950.564108,722617,4339.048828125
1609731108.3254793,725998,4305.62255859375
1609731280.3056867,729576,4369.7451171875
1609731452.7951918,733140,4424.814453125
1609731595.7799485,736175,4432.8798828125
1609731775.9152472,739914,4532.736328125
1609731958.5500064,743771,4558.4052734375
1609732045.2622752,745558,4445.33251953125
1609732232.4780807,749403,4450.42431640625
1609732391.2302535,752757,4549.44384765625
1609732538.391447,755808,4554.85888671875
1609732724.7245789,759722,4664.2900390625
1609732896.1775365,763300,4692.3798828125
1609733011.4693732,765746,4609.17236328125
1609733200.6638367,769746,4623.09521484375
1609733331.0207195,772422,4528.4296875
1609733465.2510715,775202,4525.001953125
1609733629.860431,778727,4543.53466796875
1609733794.2269075,782291,4537.1376953125
1609733875.191555,783995,4463.14306640625
1609734062.6644142,787995,4582.77734375
1609734216.8657334,791219,4623.736328125
1609734377.0684392,794677,4655.8857421875
1609734491.3128016,797069,4614.86376953125
1609734614.7864056,799693,4588.5869140625
1609734772.1973107,803025,4605.78564453125
1609734952.474604,806871,4621.09375
1609735093.858989,809833,4585.2509765625
1609735236.3670282,812816,4549.55029296875
1609735364.556697,815576,4540.34521484375
1609735506.8079565,818505,4487.0859375
1609735696.3261843,822505,4550.560546875
1609735882.2269068,826453,4678.55517578125
1609736035.7605968,829698,4644.8544921875
1609736160.4655392,832289,4601.123046875
1609736274.0691335,834675,4566.9453125
1609736435.0417461,838098,4532.10693359375
1609736625.9460218,842088,4507.67529296875
1609736776.7122097,845237,4547.6240234375
1609736966.7422915,849237,4548.7265625
1609737114.0978093,852329,4561.8564453125
1609737264.463928,855562,4588.6064453125
1609737425.784393,858942,4589.51513671875
1609737612.879894,862942,4616.77783203125
1609737731.1164157,865457,4660.27978515625
1609737915.8244646,869392,4664.23388671875
1609738071.3475227,872691,4663.09423828125
1609738262.1357915,876691,4622.46435546875
1609738370.7073653,878923,4613.92724609375
1609738519.1696532,882183,4658.26220703125
1609738686.8465543,885718,4677.34814453125
1609738809.986533,888368,4612.0966796875
1609738984.1849885,892043,4664.85595703125
1609739097.8844383,894491,4628.38037109375
1609739287.2419968,898491,4620.2333984375
1609739406.3977225,900916,4597.0576171875
1609739594.9732287,904916,4566.0615234375
1609739773.7670512,908723,4557.5068359375
1609739962.412996,912723,4594.337890625
1609740068.028214,914906,4568.7802734375
1609740211.0644858,917926,4599.93505859375
1609740349.8951886,920829,4571.2216796875
1609740538.2247667,924829,4606.46240234375
1609740694.6772585,928100,4607.4560546875
1609740838.2606602,931109,4544.99853515625
1609741029.493995,935109,4670.44140625
1609741217.7098927,939109,4721.60888671875
1609741345.504332,941847,4678.86474609375
1609741534.2848747,945847,4681.6982421875
1609741674.4263458,948784,4707.1953125
1609741862.9319422,952744,4701.41552734375
1609742052.7780328,956744,4739.89794921875
1609742152.4324398,958841,4697.013671875
1609742271.701027,961363,4712.341796875
1609742461.0114636,965363,4755.54443359375
1609742625.858145,968826,4701.1435546875
1609742792.1064777,972391,4760.87255859375
1609742909.8513641,974852,4684.35107421875
1609743008.8803668,976916,4660.6494140625
1609743172.210404,980308,4635.6279296875
1609743290.955916,982807,4572.15771484375
1609743458.8333857,986408,4574.68994140625
1609743644.2386196,990408,4591.00048828125
1609743773.93556,993261,4529.91455078125
1609743959.347043,997261,4649.6337890625
