Wall time,Step,Value
1609828963.2173724,57,12.216670036315918
1609828963.4363654,114,11.819149017333984
1609828963.74338,197,8.685667037963867
1609828966.554622,226,8.003650665283203
1609828966.6670637,254,7.507604598999023
1609828966.7697904,282,7.158645153045654
1609828968.1546133,310,6.916548728942871
1609828968.2648494,339,6.761438846588135
1609828968.376485,368,6.6395721435546875
1609828968.4911222,396,6.519588947296143
1609828973.4112825,646,13.220544815063477
1609828980.176312,1018,25.170351028442383
1609828985.6692302,1368,34.817710876464844
1609828990.7832034,1624,40.591217041015625
1609828994.3634818,1859,44.75922775268555
1609828997.8586042,2062,47.25661849975586
1609829001.0956614,2233,48.5773811340332
1609829006.3029823,2504,52.784664154052734
1609829008.2465014,2665,53.45151138305664
1609829011.7673657,2873,55.6080436706543
1609829015.114663,3037,56.13346481323242
1609829017.1022863,3195,56.48263168334961
1609829020.3232543,3336,56.54167556762695
1609829023.8875563,3560,58.5205192565918
1609829027.444561,3777,62.09728240966797
1609829034.1943579,4152,69.5029067993164
1609829041.0322301,4534,77.44761657714844
1609829051.518206,5130,88.62456512451172
1609829056.8758347,5467,95.41275024414062
1609829063.6981978,5832,103.0296630859375
1609829070.6875355,6225,110.98941802978516
1609829079.4216123,6721,120.48713684082031
1609829084.8143399,7063,128.05569458007812
1609829090.2227046,7399,135.3766326904297
1609829096.9810076,7745,139.7537384033203
1609829102.1325555,8044,139.44801330566406
1609829108.982798,8405,141.0614471435547
1609829115.9189398,8809,145.02352905273438
1609829121.3723302,9182,149.1522979736328
1609829135.1326184,9915,159.1854705810547
1609829140.776464,10273,162.0297088623047
1609829147.6507123,10639,167.49392700195312
1609829154.4456162,11015,171.9023895263672
1609829160.0431416,11392,177.64622497558594
1609829166.879131,11753,183.18185424804688
1609829173.7404377,12132,189.41299438476562
1609829179.3104062,12494,193.2776641845703
1609829186.0748804,12864,197.60411071777344
1609829192.8331676,13233,198.09031677246094
1609829199.7812746,13602,198.28634643554688
1609829205.0861585,13918,200.82374572753906
1609829212.0145237,14300,202.24330139160156
1609829212.2632322,14361,195.81980895996094
1609829213.9168012,14433,188.6625518798828
1609829214.171144,14496,180.96810913085938
1609829221.0114193,14868,179.6944580078125
1609829228.0660162,15265,180.80801391601562
