Wall time,Step,Value
1609847153.5304992,80,11.825399398803711
1609847154.003465,120,10.061542510986328
1609847154.1105437,152,8.738314628601074
1609847154.2265613,184,8.07975959777832
1609847157.2948277,235,6.994486331939697
1609847159.055864,311,5.735598564147949
1609847162.8488152,580,11.182710647583008
1609847171.5698106,1004,24.72934913635254
1609847177.038976,1343,34.53623962402344
1609847182.370353,1685,42.53975296020508
1609847189.753738,2088,50.42422866821289
1609847198.7520926,2511,57.42405700683594
1609847208.6120234,3063,65.15863037109375
1609847226.5175762,3974,78.86259460449219
1609847232.2969975,4203,79.35962677001953
1609847238.757723,4585,82.25083923339844
1609847244.6950238,4832,82.92882537841797
1609847263.1947198,5743,94.4211196899414
1609847282.1751173,6674,106.64563751220703
1609847286.5391517,6875,105.4906997680664
1609847291.0207853,7074,104.42664337158203
1609847304.0318198,7685,113.63949584960938
1609847317.279874,8284,122.17192840576172
1609847330.600585,8857,129.96664428710938
1609847341.8220568,9304,134.52761840820312
1609847353.2297323,9803,145.279541015625
1609847364.7182271,10308,156.3387908935547
1609847376.461944,10816,167.4371337890625
1609847388.3483355,11313,178.4322052001953
1609847398.1957238,11785,188.7187042236328
1609847410.1868887,12247,199.21417236328125
1609847422.5031314,12765,208.99620056152344
1609847432.4169085,13175,213.32778930664062
1609847444.9356625,13678,220.12672424316406
1609847455.0149732,14085,224.58236694335938
1609847467.7761176,14580,230.64035034179688
1609847472.9647615,14745,227.92449951171875
1609847480.7805274,15067,228.36863708496094
1609847493.8367496,15568,229.52978515625
1609847506.9841795,16060,237.28549194335938
1609847520.1630502,16551,243.53823852539062
1609847533.6396635,17043,250.86517333984375
1609847544.4360473,17462,248.5901641845703
1609847558.2907064,17986,247.4102783203125
1609847572.023573,18481,255.35008239746094
1609847585.7843325,18976,263.33905029296875
1609847594.1775572,19231,255.9249725341797
1609847608.365696,19743,255.09120178222656
1609847619.9562893,20178,252.2691192626953
1609847636.8763413,20713,254.15830993652344
1609847651.5484698,21260,255.38499450683594
1609847666.4894452,21792,256.19000244140625
1609847684.238889,22383,257.8067626953125
1609847701.9412546,22962,258.94268798828125
1609847719.9695563,23574,261.99981689453125
1609847737.9511364,24132,263.1383361816406
1609847750.5451436,24567,260.7088317871094
1609847766.1017115,25025,261.8532409667969
1609847781.7042475,25539,262.1681823730469
1609847797.3283598,26082,266.1427917480469
1609847816.0281713,26640,268.15802001953125
1609847831.8888383,27146,277.6633605957031
1609847847.9587867,27646,283.1666259765625
1609847864.389687,28155,284.28411865234375
1609847880.79075,28669,285.7115173339844
1609847887.864598,28899,279.4137268066406
1609847907.3807616,29433,281.8296813964844
1609847920.857121,29852,283.0525817871094
1609847937.4806569,30354,284.0052795410156
1609847954.6367686,30873,285.64385986328125
1609847974.717755,31408,288.0346984863281
1609847988.917744,31885,294.6614074707031
1609848002.828401,32280,291.6966247558594
1609848020.0839326,32739,292.7349853515625
1609848037.5155208,33244,294.0740966796875
1609848055.3390307,33722,293.40777587890625
1609848073.14814,34233,294.48297119140625
1609848090.9892418,34747,295.201171875
1609848109.2116716,35277,296.92315673828125
1609848127.452496,35776,296.2358703613281
1609848145.6695023,36262,296.9541320800781
1609848164.480152,36784,301.46673583984375
1609848182.9296541,37299,304.8101806640625
1609848205.0629451,37800,305.8104553222656
1609848224.2179892,38319,306.4828796386719
1609848243.4178448,38822,306.0836181640625
1609848262.657708,39319,306.3371887207031
1609848278.332021,39785,305.6730041503906
1609848297.3809087,40208,303.5911560058594
1609848317.209076,40747,305.41461181640625
1609848337.021685,41259,313.7628173828125
1609848356.848602,41762,313.64544677734375
1609848376.8371282,42235,315.6328125
1609848396.8102062,42756,316.81219482421875
1609848421.0221522,43339,320.9393005371094
1609848445.3481936,43937,324.2523498535156
1609848469.3660383,44532,329.6946716308594
1609848494.2106893,45128,338.1195983886719
