#{"t_start": 1610715431.0621405, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,220,441.308605
0.0,123,446.345327
1.0,176,454.047516
0.0,127,459.201009
1.0,153,924.352175
0.0,129,929.531416
0.0,127,934.667122
2.0,224,943.561014
0.0,127,1401.918998
1.0,173,1408.724487
1.0,173,1416.323308
10.0,436,1891.195032
8.0,351,1906.323915
2.0,202,2367.455883
0.0,125,2372.206265
1.0,157,2378.553907
2.0,199,2386.428923
0.0,125,2391.36683
1.0,157,2855.333466
2.0,200,2863.571923
3.0,252,2873.624967
0.0,127,3321.534065
0.0,127,3326.653562
3.0,245,3336.733919
0.0,127,3341.791381
5.0,369,3799.543615
0.0,127,3803.953367
4.0,299,3816.590772
3.0,248,4234.332095
0.0,127,4239.44853
0.0,129,4244.423536
1.0,171,4251.169003
1.0,155,4722.990452
2.0,222,4732.918264
0.0,129,4737.807209
0.0,129,4743.039697
2.0,202,5202.822181
1.0,155,5208.710821
5.0,364,5222.954418
0.0,123,5646.817327
1.0,154,5652.631609
0.0,127,5657.702745
1.0,153,5663.960321
1.0,157,6099.470399
2.0,199,6107.289649
1.0,176,6114.277021
0.0,125,6118.826111
2.0,204,6584.073897
1.0,173,6590.965101
3.0,252,6601.879183
0.0,129,6607.077112
3.0,271,7068.367566
0.0,125,7072.88338
2.0,222,7081.91431
3.0,267,7506.904609
3.0,230,7517.044341
0.0,127,7522.11408
0.0,129,7527.572635
1.0,157,7994.370388
1.0,178,8001.092012
3.0,270,8012.00442
0.0,129,8017.213387
10.0,410,8477.346037
0.0,127,8482.795686
0.0,127,8487.539469
3.0,250,8948.382258
1.0,176,8955.604492
2.0,202,8964.308612
1.0,173,9405.474314
4.0,297,9418.625546
9.0,404,9877.431581
0.0,127,9881.808857
0.0,123,9886.713596
6.0,399,10360.030964
0.0,127,10365.80501
0.0,129,10371.174972
2.0,202,10379.972896
0.0,129,10876.685003
1.0,155,10883.325157
0.0,123,10888.461757
0.0,123,10893.486913
4.0,321,11353.28766
0.0,127,11358.351726
3.0,252,11369.354198
0.0,129,11374.607792
3.0,270,11819.134447
5.0,352,11834.127724
0.0,127,12331.084944
0.0,129,12336.957462
0.0,129,12343.202252
2.0,202,12352.537654
0.0,129,12358.054395
0.0,127,12807.528043
0.0,129,12813.203993
4.0,299,12827.090874
9.0,382,13305.869438
0.0,127,13311.224532
0.0,129,13316.814875
0.0,129,13322.41119
0.0,129,13781.099092
0.0,127,13786.7896
0.0,129,13791.886484
0.0,127,13797.341656
0.0,129,13802.472239
0.0,127,13807.53228
2.0,202,14256.080322
9.0,404,14275.289902
4.0,297,14740.758027
3.0,271,14752.318131
0.0,129,14757.496448
9.0,404,15178.657869
0.0,129,15183.410109
5.0,350,15618.618573
4.0,318,15630.978087
7.0,324,16041.104828
0.0,127,16045.549946
5.0,350,16059.011921
0.0,129,16447.217893
0.0,129,16452.50148
0.0,127,16457.525854
0.0,125,16462.234375
0.0,129,16467.619327
0.0,127,16912.151395
5.0,350,16926.668306
2.0,202,16934.590112
0.0,127,17344.751474
2.0,202,17353.041972
2.0,198,17360.91091
2.0,202,17368.853521
2.0,200,17785.098493
2.0,202,17792.536206
5.0,350,18272.477933
0.0,127,18276.899144
0.0,127,18281.535152
2.0,202,18288.793
5.0,350,18697.89155
0.0,129,18702.666324
3.0,248,18712.525269
0.0,129,19140.101263
1.0,157,19146.502364
0.0,129,19151.366354
9.0,349,19165.365129
1.0,157,19600.364283
3.0,228,19609.313478
3.0,271,19620.028532
0.0,129,20041.320072
2.0,200,20049.269433
0.0,127,20053.264669
0.0,129,20058.234971
0.0,129,20062.658677
5.0,352,20490.071344
0.0,127,20494.018517
0.0,129,20498.48167
9.0,404,20956.524002
0.0,129,20960.948517
0.0,127,20965.708354
0.0,129,21402.170094
2.0,200,21410.24687
1.0,173,21416.80848
0.0,127,21421.573573
0.0,127,21426.129311
