#{"t_start": 1610715427.1918368, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,200,444.293519
1.0,152,450.63589
0.0,129,456.055088
4.0,318,928.875334
0.0,127,933.988002
1.0,157,940.220037
1.0,173,947.040423
0.0,125,1405.262764
0.0,125,1410.037516
1.0,157,1416.792023
1.0,173,1423.666853
2.0,200,1431.387354
0.0,129,1893.377814
0.0,125,1898.48275
3.0,269,1909.787809
0.0,127,1914.662978
1.0,173,2374.526841
1.0,157,2380.835834
4.0,302,2393.235223
0.0,127,2856.1489
0.0,127,2861.10782
0.0,125,2865.770191
3.0,270,2876.784098
0.0,127,3324.567686
1.0,178,3332.01656
2.0,220,3341.09245
1.0,157,3347.291573
0.0,129,3794.456636
1.0,153,3800.682453
0.0,129,3805.687556
4.0,296,3817.86386
3.0,250,4235.882834
0.0,129,4240.378586
0.0,127,4245.622696
2.0,200,4253.63208
2.0,217,4728.410308
1.0,153,4734.925741
1.0,155,4741.203302
2.0,201,4749.730104
4.0,301,5213.331582
2.0,205,5221.020863
0.0,129,5225.82748
1.0,155,5650.864285
2.0,202,5658.907444
0.0,127,5664.036516
2.0,206,5672.585667
2.0,203,6109.575745
0.0,129,6114.76517
0.0,129,6119.458198
1.0,175,6126.42571
0.0,125,6588.207982
2.0,219,6597.274377
1.0,157,6603.728363
0.0,127,6608.966727
0.0,127,6613.929376
0.0,127,7069.084688
0.0,129,7073.777117
3.0,248,7083.74303
0.0,129,7088.508761
2.0,221,7511.843613
0.0,129,7517.127035
0.0,129,7522.677411
0.0,127,7527.727209
0.0,125,7532.898044
0.0,127,7998.379299
0.0,127,8002.872244
5.0,350,8017.197285
1.0,178,8467.21368
0.0,129,8472.626283
4.0,278,8484.478325
0.0,127,8489.378017
0.0,129,8944.50886
0.0,129,8949.584312
0.0,129,8954.880112
2.0,202,8963.715994
2.0,202,9405.611068
3.0,271,9417.993744
3.0,230,9427.566777
2.0,200,9877.079448
0.0,127,9882.274897
0.0,127,9886.880286
0.0,129,9891.750003
0.0,129,9896.620524
2.0,202,10361.451097
1.0,173,10369.429105
2.0,184,10377.419932
2.0,224,10878.506187
2.0,198,10887.294513
2.0,202,10896.000909
2.0,200,10904.778428
1.0,173,11357.582656
2.0,222,11367.108329
0.0,129,11372.401344
3.0,253,11817.003536
0.0,129,11821.522147
10.0,451,11841.036483
0.0,129,12338.216164
0.0,129,12344.346231
9.0,404,12363.730404
2.0,200,12816.848609
0.0,125,12822.247978
7.0,432,13303.638388
1.0,173,13311.268728
0.0,127,13316.394123
0.0,125,13321.972278
2.0,198,13330.797289
2.0,202,13793.164453
6.0,379,13809.842114
4.0,319,14264.040802
0.0,129,14269.581014
0.0,125,14275.083978
0.0,127,14280.689622
0.0,125,14738.731261
0.0,127,14743.300744
0.0,125,14748.552115
2.0,202,14756.741239
0.0,129,14762.052079
3.0,246,15175.792035
0.0,129,15181.189339
0.0,127,15185.948428
9.0,380,15622.393066
11.0,464,15640.455501
1.0,157,16043.903927
5.0,350,16057.695417
4.0,297,16452.5394
0.0,127,16457.678673
0.0,125,16462.632384
0.0,127,16467.480091
3.0,248,16917.464422
0.0,127,16922.275849
5.0,350,16936.769426
2.0,198,17350.001301
0.0,125,17355.120884
2.0,202,17362.84157
2.0,198,17370.719961
2.0,198,17786.899701
2.0,202,17794.464396
0.0,127,17798.903864
4.0,297,18276.7952
5.0,350,18290.344435
5.0,350,18699.097227
9.0,404,18715.364891
1.0,173,19144.805065
0.0,129,19150.006474
0.0,129,19154.756983
0.0,127,19159.388138
5.0,314,19601.007771
0.0,127,19606.133242
1.0,158,19611.952102
3.0,250,19621.863058
1.0,173,20044.864606
2.0,202,20052.952318
5.0,352,20066.140495
9.0,404,20495.468074
2.0,200,20502.320243
0.0,129,20949.404618
2.0,202,20956.735575
5.0,352,20970.430621
2.0,200,21410.152872
3.0,251,21419.885404
0.0,127,21424.893271
1.0,175,21852.796759
0.0,129,21857.378803
1.0,155,21863.308174
0.0,127,21868.12407
5.0,350,22305.463044
0.0,129,22310.143074
1.0,155,22316.14562
6.0,382,22766.152673
2.0,202,22774.441686
0.0,127,22779.403701
0.0,125,22784.376282
12.0,431,23236.17567
0.0,129,23241.198764
0.0,127,23245.811186
0.0,129,23679.700867
0.0,129,23684.237337
12.0,431,23700.472379
9.0,384,24104.856391
0.0,129,24109.112432
0.0,129,24113.79167
0.0,129,24501.092744
0.0,125,24505.179508
5.0,350,24517.513058
0.0,127,24521.848898
2.0,220,24957.740793
0.0,129,24963.042393
0.0,129,24968.279906
0.0,129,24973.536308
1.0,155,25424.924158
2.0,202,25432.593854
3.0,250,25441.540462
3.0,230,25866.48995
9.0,404,25881.795856
2.0,200,25889.746614
0.0,129,26304.804814
1.0,173,26311.379812
1.0,178,26318.349307
3.0,248,26747.450495
0.0,127,26751.90275
5.0,350,26765.384107
5.0,350,27213.899596
0.0,127,27218.57147
4.0,297,27230.229177
0.0,129,27659.113658
5.0,350,27673.466369
2.0,198,27681.104577
4.0,297,28115.00457
9.0,404,28546.103368
5.0,350,28558.372578
9.0,401,29003.856917
5.0,350,29019.792347
0.0,127,29025.683979
9.0,404,29502.589022
0.0,127,29507.442956
0.0,127,29511.994383
0.0,129,29928.417207
5.0,329,29940.710666
0.0,127,29945.074536
0.0,129,29950.014133
0.0,125,30371.263735
2.0,202,30379.027905
5.0,350,30392.759716
5.0,350,30833.6505
3.0,250,30844.184694
9.0,404,31279.853973
0.0,127,31284.672364
5.0,350,31699.380186
3.0,248,31709.507095
3.0,246,31719.158322
4.0,319,32124.254497
0.0,129,32129.03072
3.0,248,32532.408692
0.0,127,32536.963924
2.0,200,32544.466817
0.0,127,32548.937777
2.0,200,32555.704717
0.0,129,32949.543706
1.0,158,32956.249819
0.0,129,32961.664132
4.0,299,33404.668156
0.0,129,33409.4277
0.0,127,33414.174937
9.0,382,33429.101478
9.0,404,33830.996907
0.0,129,33835.444374
0.0,129,33839.149246
0.0,127,34216.86416
4.0,299,34228.243016
3.0,246,34237.123097
0.0,127,34631.575092
0.0,129,34635.849447
3.0,248,34644.493354
2.0,202,35070.527324
0.0,127,35075.265001
0.0,127,35080.152528
2.0,198,35087.949295
3.0,230,35499.050486
3.0,248,35508.168314
2.0,202,35516.052241
0.0,125,35520.611331
2.0,198,35913.282728
0.0,129,35917.442818
0.0,129,35922.528024
1.0,173,35928.690569
2.0,200,36328.054613
0.0,125,36332.528767
4.0,301,36343.858733
0.0,125,36348.551396
2.0,202,36726.887748
5.0,350,36739.314745
2.0,202,37182.262972
1.0,157,37188.149974
0.0,127,37193.097563
0.0,129,37197.830569
2.0,202,37205.889658
9.0,404,37619.731938
0.0,127,37624.320387
2.0,200,38009.849766
8.0,372,38024.698473
5.0,329,38429.489856
0.0,129,38434.595798
0.0,125,38438.821278
4.0,297,38450.100526
0.0,127,38835.985387
0.0,129,38841.14905
3.0,246,38851.625365
0.0,127,38856.921865
0.0,125,39279.307517
2.0,200,39286.484884
0.0,125,39291.315304
0.0,129,39295.48028
0.0,125,39300.630867
2.0,198,39697.791416
2.0,200,39704.667977
0.0,125,39709.164504
2.0,202,39716.473006
0.0,125,40097.690141
5.0,350,40111.253337
1.0,171,40117.66929
3.0,248,40511.278386
3.0,248,40520.648431
0.0,129,40524.990352
3.0,248,40913.30892
0.0,129,40918.16671
0.0,129,40923.103116
0.0,123,40927.712829
2.0,202,41321.624817
0.0,129,41326.321364
2.0,200,41333.405689
3.0,248,41342.637587
5.0,350,41726.68002
5.0,350,41740.049223
2.0,200,42119.987613
0.0,125,42124.625912
12.0,431,42513.455848
0.0,125,42517.733434
0.0,125,42522.105516
