total_timesteps,fps,value_loss,contrastive_loss,atten_encoder_loss,reconstruct_loss,policy_entropy,nupdates,explained_variance,policy_loss,atten_decoder_loss,ep_reward_mean,ep_len_mean,total_timesteps_eval,explained_variance_eval,fps_eval,ep_reward_mean_eval,ep_len_mean_eval
80,15,0.0018220406491309404,1.367959976196289,0.055807363241910934,0.014764964580535889,1.2743456363677979,1,-2.162417411804199,0.030269932001829147,0.4043779969215393,,,,,,,
40000,252,0.00016229503671638668,1.9052762985229492,0.057854365557432175,0.017134975641965866,1.3260895013809204,500,-2.691020965576172,-0.0025995117612183094,0.3363974988460541,2.15,211.5,,,,,
80000,245,0.005464527755975723,1.9721143245697021,0.06149522215127945,0.017435023561120033,1.3357183933258057,1000,0.019049465656280518,-0.028531860560178757,0.19013020396232605,1.36,180.58,,,,,
,,,,,,,,,,,,,100080,-4.780861854553223,130,,
110080,174,0.0631505697965622,1.966120958328247,0.06018659844994545,0.017327556386590004,1.3795838356018066,1,-0.001634359359741211,0.05181761831045151,0.021410180255770683,1.24,178.27,,,,,
150000,210,0.007762269116938114,2.000077962875366,0.008210480213165283,0.017467563971877098,1.3690617084503174,500,-0.003190755844116211,-0.05109993740916252,0.023969899863004684,1.09,168.5,,,,,
190000,215,0.004727423656731844,1.9944701194763184,0.0005738833569921553,0.017258698120713234,1.3779304027557373,1000,-0.0070285797119140625,-0.04005570337176323,0.015650268644094467,1.29,176.97,,,,,
,,,,,,,,,,,,,210080,0.001162886619567871,372,0.8275862068965517,159.48275862068965
220080,256,0.0019835990387946367,1.999121069908142,0.0003307819424662739,0.017368774861097336,1.3841570615768433,1,-0.010732531547546387,-0.025386160239577293,0.02247123420238495,1.21,175.99,,,,,
260000,225,0.0035823427606374025,1.9984935522079468,0.0003477868449408561,0.017491690814495087,1.3822252750396729,500,-0.00921320915222168,-0.030268097296357155,0.01980232447385788,1.29,176.65,,,,,
300000,218,0.0013500015484169126,1.999435305595398,0.0003260104567743838,0.017506277188658714,1.3841091394424438,1000,-0.009709715843200684,-0.02102448232471943,0.02255440130829811,1.44,183.25,,,,,
,,,,,,,,,,,,,320080,0.0006103515625,438,1.08,170.1
330080,217,0.025665273889899254,1.995114803314209,0.0004035659949295223,0.01717974804341793,1.3830348253250122,1,0.0006929636001586914,0.016751563176512718,0.02535822056233883,1.34,180.83,,,,,
370000,219,0.0017679764423519373,1.996220350265503,0.000915585202164948,0.017355937510728836,1.3846869468688965,500,-0.012211918830871582,-0.02496381476521492,0.01565909944474697,1.17,173.67,,,,,
410000,219,0.03876537084579468,1.9982616901397705,1.249999968422344e-05,0.017487000674009323,1.383208155632019,1000,0.0005463361740112305,0.027546769008040428,0.017198210582137108,0.88,161.26,,,,,
,,,,,,,,,,,,,430080,-0.014658689498901367,371,1.08,170.41
440080,242,0.05308620259165764,2.002350330352783,0.00012563577911350876,0.017477551475167274,1.3804147243499756,1,0.00043338537216186523,0.02287508174777031,0.015363315120339394,1.25,176.04,,,,,
