#{"t_start": 1611042779.6863012, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,252,34.799824
3.0,252,49.836324
2.0,202,61.383218
0.0,125,68.263219
3.0,249,82.921846
0.0,129,89.87425
0.0,129,96.625157
0.0,127,103.669144
0.0,127,110.638587
2.0,204,122.153138
0.0,125,128.849393
0.0,129,135.891606
0.0,127,142.629075
3.0,252,157.186266
0.0,129,164.077843
3.0,248,177.980712
1.0,155,186.359889
1.0,173,196.189289
2.0,186,206.518764
0.0,127,213.356338
1.0,154,221.717519
2.0,208,233.437665
0.0,127,240.134361
0.0,127,247.174588
