#{"t_start": 1610951215.4623985, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,383.005188
9.0,425,397.510795
0.0,129,779.216144
1.0,155,784.302244
0.0,129,788.551241
4.0,280,798.562996
0.0,129,1211.767347
4.0,319,1223.039348
0.0,127,1227.271607
0.0,129,1231.649635
0.0,129,1652.402615
1.0,176,1658.512214
1.0,176,1664.629478
1.0,156,1670.005543
1.0,155,2084.966055
1.0,155,2090.289476
0.0,127,2094.453513
0.0,127,2098.650182
0.0,129,2103.114855
1.0,173,2527.403397
0.0,125,2531.736347
4.0,268,2541.084178
1.0,177,2547.191774
3.0,232,2953.467636
1.0,155,2958.838092
4.0,301,2969.964948
0.0,129,3347.278165
3.0,270,3357.290409
0.0,129,3361.723732
2.0,202,3750.871162
2.0,202,3758.064354
0.0,129,3762.430056
0.0,127,3766.673672
1.0,155,3771.971059
2.0,203,4165.409389
0.0,127,4169.510035
3.0,230,4177.350472
3.0,231,4580.837985
2.0,201,4587.466221
0.0,127,4591.537421
1.0,157,4596.71622
2.0,206,4960.42629
2.0,224,4968.10977
0.0,127,4972.299384
2.0,223,4980.119016
0.0,125,5361.232674
2.0,204,5368.175003
1.0,174,5374.149553
1.0,173,5379.933984
5.0,352,5787.831379
3.0,250,5796.58516
0.0,125,6197.87221
2.0,184,6204.053853
1.0,174,6209.908047
0.0,127,6214.150321
0.0,129,6218.412093
1.0,175,6577.195266
0.0,125,6581.280802
0.0,129,6585.618365
0.0,127,6589.903871
0.0,125,6593.995378
2.0,222,6966.89121
3.0,230,6974.610926
1.0,176,6980.624572
0.0,125,7346.846475
1.0,173,7352.421925
0.0,123,7356.354145
1.0,173,7362.012961
3.0,270,7774.373051
3.0,252,7782.95009
1.0,155,7788.046182
0.0,127,7792.119416
2.0,220,8153.442686
0.0,127,8157.400513
1.0,157,8162.505088
4.0,279,8522.10285
0.0,129,8526.275203
1.0,172,8532.059853
5.0,327,8899.833309
2.0,205,8906.888187
0.0,125,8910.860884
0.0,125,8914.862305
3.0,248,9279.859417
0.0,127,9283.925897
3.0,248,9292.609496
1.0,159,9297.863878
0.0,127,9667.30535
0.0,127,9671.465937
0.0,125,9675.354033
5.0,333,9686.818165
3.0,230,10052.435664
2.0,203,10059.22633
0.0,127,10063.350092
0.0,127,10067.329553
2.0,225,10429.104226
2.0,203,10436.043756
7.0,427,10812.545074
0.0,129,10816.680795
1.0,153,10821.707304
0.0,129,10825.805527
6.0,361,11190.465925
4.0,320,11201.479332
2.0,224,11563.446379
4.0,319,11574.693527
1.0,173,11580.492458
1.0,173,11946.535623
0.0,127,11950.648889
3.0,250,11959.129808
0.0,125,11963.138964
0.0,129,12332.954432
0.0,125,12337.047492
0.0,127,12341.172876
2.0,202,12348.146808
0.0,127,12352.311373
0.0,129,12722.066246
3.0,248,12730.444579
0.0,129,12734.659999
1.0,157,12739.972548
4.0,300,13106.652853
1.0,157,13111.851056
1.0,157,13116.907405
2.0,202,13475.779451
1.0,172,13481.613716
1.0,153,13486.54645
2.0,198,13493.353628
0.0,129,13852.233772
3.0,250,13860.895145
1.0,173,13866.658261
0.0,127,13870.717057
3.0,248,14232.915026
0.0,129,14237.077899
0.0,127,14241.203622
2.0,222,14248.644195
0.0,127,14598.636108
1.0,175,14604.174318
2.0,200,14610.539324
3.0,250,14968.72107
3.0,211,14975.616895
0.0,127,14979.698619
0.0,125,14983.644604
1.0,175,15381.187724
0.0,129,15385.42416
2.0,199,15391.976651
1.0,155,15397.045321
0.0,127,15401.048148
3.0,233,15769.645264
1.0,174,15775.317139
1.0,171,15780.900305
5.0,346,16155.531098
2.0,221,16163.361891
3.0,269,16587.009644
1.0,171,16593.097399
3.0,275,16603.12643
0.0,129,16607.688268
0.0,125,17010.410706
2.0,222,17018.34026
0.0,125,17022.557856
0.0,129,17026.934464
0.0,125,17031.228287
3.0,252,17419.424032
1.0,153,17425.012352
0.0,127,17429.508076
1.0,173,17435.775525
0.0,125,17814.509624
0.0,129,17818.937185
2.0,204,17826.129344
0.0,129,17830.683639
0.0,129,17835.231725
0.0,127,18237.484698
0.0,127,18241.696086
5.0,350,18254.197483
0.0,127,18662.307273
0.0,129,18666.860988
1.0,157,18672.304981
0.0,125,18676.651327
1.0,153,18681.972978
2.0,201,19073.097436
0.0,129,19077.609936
2.0,219,19085.695623
1.0,155,19091.113427
0.0,127,19473.589655
2.0,198,19480.649315
