#{"t_start": 1610951216.7559612, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,381.600059
0.0,129,385.705194
4.0,281,395.089413
0.0,129,399.254556
0.0,129,780.952982
0.0,129,785.147142
1.0,175,791.166561
0.0,129,795.382474
1.0,157,1209.737214
5.0,348,1222.17085
0.0,129,1226.502054
0.0,127,1230.735992
2.0,200,1654.118389
0.0,127,1658.460441
0.0,127,1662.684651
0.0,127,1666.950253
1.0,157,1672.32302
4.0,304,2092.858851
1.0,173,2098.785353
2.0,202,2524.365354
0.0,127,2528.59441
0.0,129,2532.969086
2.0,187,2539.326987
0.0,127,2543.641721
0.0,127,2945.722941
0.0,125,2950.014106
1.0,155,2955.436381
2.0,188,2962.08758
1.0,154,2967.572437
0.0,129,3344.864662
0.0,129,3349.370575
1.0,155,3354.856395
2.0,223,3362.972003
0.0,125,3749.160708
3.0,247,3758.047513
4.0,299,3768.733258
2.0,200,4162.043421
0.0,127,4166.344208
1.0,171,4172.051142
0.0,129,4176.143823
1.0,174,4577.564565
0.0,127,4581.647914
2.0,225,4589.104129
3.0,230,4596.880365
0.0,129,4957.857892
3.0,228,4965.716638
0.0,129,4969.941762
0.0,127,4974.190077
4.0,319,5362.477214
0.0,123,5366.429759
0.0,125,5370.558531
5.0,328,5777.737161
4.0,299,5788.094099
1.0,157,5793.398928
1.0,157,6195.825436
2.0,209,6202.941863
5.0,348,6215.262746
0.0,125,6572.310093
0.0,129,6576.51735
8.0,433,6592.097108
2.0,206,6964.481725
0.0,127,6968.515795
3.0,248,6977.04055
0.0,127,6981.179576
3.0,272,7352.5365
0.0,127,7356.67214
5.0,327,7770.924227
0.0,129,7775.1469
0.0,125,7779.140237
8.0,374,7792.07609
3.0,246,8154.312895
4.0,319,8165.078984
5.0,327,8526.539179
1.0,157,8531.752722
0.0,127,8535.816976
0.0,125,8539.938932
0.0,127,8900.460006
0.0,125,8904.534308
5.0,350,8916.677869
1.0,177,9279.170388
0.0,127,9283.175737
2.0,201,9290.137355
5.0,330,9666.915761
1.0,157,9672.133712
0.0,127,9676.15881
3.0,234,9684.036022
2.0,188,10048.11383
0.0,127,10052.207643
2.0,204,10059.114341
1.0,155,10064.114384
0.0,129,10422.343997
0.0,129,10426.59377
0.0,129,10430.807253
4.0,265,10439.93157
3.0,216,10808.832307
1.0,173,10814.466655
2.0,202,10821.323231
3.0,228,10829.048967
2.0,186,11187.339723
0.0,129,11191.363676
2.0,228,11199.080387
0.0,129,11203.288635
0.0,125,11561.646967
0.0,125,11565.757918
2.0,184,11572.021634
2.0,204,11578.945695
2.0,184,11945.437434
3.0,272,11954.772756
2.0,204,11961.600657
2.0,227,12334.965498
2.0,219,12342.530259
0.0,127,12346.707469
0.0,127,12350.884839
1.0,173,12722.27795
1.0,174,12727.996911
1.0,171,12733.723178
0.0,125,12737.818128
0.0,127,13098.181359
2.0,202,13105.022351
0.0,127,13109.167803
4.0,277,13118.611133
0.0,125,13474.678599
3.0,248,13483.156045
3.0,250,13491.822515
0.0,123,13850.520105
4.0,282,13860.338216
3.0,230,13868.136531
0.0,127,14225.935607
0.0,125,14229.968856
0.0,129,14234.15483
1.0,176,14240.028902
0.0,127,14244.095863
1.0,173,14595.784734
0.0,127,14599.627596
4.0,320,14610.248462
1.0,158,14615.161432
1.0,173,14970.620508
0.0,127,14974.667005
1.0,173,14980.374405
1.0,177,14986.110479
0.0,127,15382.060003
0.0,125,15386.140413
1.0,177,15391.863311
0.0,127,15395.9573
0.0,127,15399.960099
0.0,127,15764.743006
0.0,127,15768.765937
1.0,177,15774.576887
0.0,127,15778.63708
0.0,125,15782.558859
0.0,125,16149.152198
3.0,254,16158.078689
5.0,345,16170.51653
2.0,198,16591.684932
1.0,173,16597.762913
0.0,127,16602.167847
1.0,177,16608.528142
1.0,175,17013.211504
1.0,176,17019.306356
1.0,155,17024.66854
0.0,129,17029.125472
0.0,127,17412.588605
0.0,127,17416.839355
1.0,153,17422.422887
0.0,127,17426.967417
1.0,157,17432.520947
0.0,127,17811.341387
1.0,153,17816.790079
0.0,125,17821.028759
2.0,200,17828.135221
2.0,206,18233.774692
3.0,272,18243.342486
11.0,482,18664.815457
0.0,129,18669.211997
4.0,304,18680.434992
0.0,127,19068.781495
1.0,155,19074.237111
2.0,184,19080.994536
3.0,243,19089.771062
1.0,172,19473.937055
0.0,123,19478.126461
3.0,273,19488.045717
3.0,273,19911.02608
0.0,127,19915.351505
3.0,250,19924.02547
1.0,152,19929.030786
0.0,127,20346.558916
3.0,211,20354.147543
3.0,252,20363.447022
2.0,222,20734.930181
0.0,129,20739.376131
2.0,224,20747.631909
0.0,127,20752.065772
1.0,157,21129.166921
1.0,157,21134.490167
0.0,127,21138.83584
0.0,127,21143.222057
0.0,125,21147.291967
1.0,155,21520.556854
1.0,169,21526.513965
2.0,224,21534.640854
2.0,223,21958.012807
1.0,175,21964.269446
1.0,173,21970.411681
1.0,174,21976.520154
0.0,127,21980.93399
4.0,299,22414.961799
3.0,239,22423.5576
2.0,200,22854.956302
0.0,125,22859.260514
1.0,175,22865.445923
1.0,157,22870.975431
0.0,129,22875.372474
3.0,253,23308.122561
0.0,129,23312.552644
0.0,129,23317.172228
0.0,125,23321.473464
5.0,306,23756.744678
0.0,127,23761.04004
0.0,129,23765.526237
2.0,203,23772.627484
1.0,173,24215.946597
0.0,129,24220.263573
1.0,170,24226.247913
1.0,173,24232.244828
0.0,129,24651.901225
