contrastive_loss,nupdates,value_loss,explained_variance,reconstruct_loss,policy_loss,atten_decoder_loss,policy_entropy,fps,atten_encoder_loss,total_timesteps,ep_len_mean,ep_reward_mean,fps_eval,explained_variance_eval,total_timesteps_eval,ep_len_mean_eval,ep_reward_mean_eval
1.999746561050415,1,0.005868532229214907,-7.3909759521484375e-06,0.017382118850946426,-0.04283817857503891,0.0002642814943101257,1.3767890930175781,248,0.0009667968261055648,330080,176.7,1.22,,,,,
1.9997713565826416,500,0.002726847305893898,-0.0003018379211425781,0.017355510964989662,-0.023227322846651077,0.00030114006949588656,1.3815809488296509,239,0.0014501953264698386,370000,171.14,1.11,,,,,
1.9991475343704224,1000,0.007238660007715225,-0.0004705190658569336,0.01729307323694229,-0.06181380897760391,0.0002910626062657684,1.3855981826782227,239,0.0009277211502194405,410000,176.08,1.21,,,,,
,,,,,,,,,,,,,371,-6.318092346191406e-06,430080,184.07,1.36
1.9996306896209717,1,0.002588622970506549,-0.0007948875427246094,0.017475586384534836,-0.03071175515651703,0.0003180164494551718,1.3777376413345337,225,0.0009357137605547905,440080,186.34,1.5,,,,,
1.9992713928222656,500,0.025899821892380714,1.615285873413086e-05,0.01733030378818512,0.009261083789169788,0.0002929242909885943,1.369075894355774,245,0.001412582932971418,480000,183.38,1.44,,,,,
1.9996261596679688,1000,0.005169197916984558,-0.001190185546875,0.017160139977931976,-0.050186194479465485,0.00026709624216891825,1.3794896602630615,245,0.0009505508351139724,520000,178.47,1.24,,,,,
,,,,,,,,,,,,,417,-1.633167266845703e-05,540080,181.42,1.39
2.000378131866455,1,0.012732391245663166,5.27501106262207e-05,0.017587898299098015,0.0068533895537257195,0.00030967831844463944,1.3842681646347046,227,0.0019131641602143645,550080,193.07,1.63,,,,,
2.000401020050049,500,0.0755617767572403,0.0001131296157836914,0.01735103689134121,0.07064157724380493,0.0003730161697603762,1.3844621181488037,239,0.0018712406745180488,590000,169.77,1.06,,,,,
2.0002498626708984,1000,0.007387918420135975,-0.0012825727462768555,0.01736493781208992,-0.059063274413347244,0.00026556788361631334,1.385197401046753,238,0.0009667968261055648,630000,192.3,1.63,,,,,
,,,,,,,,,,,,,354,8.410215377807617e-05,650080,173.9,1.25
1.999536156654358,1,0.00014041512622497976,5.960464477539063e-08,0.01738922856748104,-0.014880265109241009,0.0002946295717265457,1.385192632675171,282,0.0,660080,181.96,1.36,,,,,
1.999023199081421,500,0.007542329374700785,-0.0003865957260131836,0.017273638397455215,-0.04825090616941452,0.00036773126339539886,1.3860790729522705,252,0.0,700000,172.65,1.15,,,,,
1.9998629093170166,1000,0.026014352217316628,6.192922592163086e-05,0.01741373911499977,0.007060350384563208,0.0003967902739532292,1.379616379737854,250,0.0023581418208777905,740000,176.37,1.18,,,,,
,,,,,,,,,,,,,339,9.298324584960938e-06,760080,181.74,1.45
1.9998828172683716,1,0.03861423209309578,6.23464584350586e-05,0.0174732469022274,0.030596870929002762,0.0002554136444814503,1.383052110671997,259,0.0023391505237668753,770080,189.92,1.53,,,,,
1.9996883869171143,500,0.00028002267936244607,0.012033700942993164,0.017157576978206635,-0.020934510976076126,0.0003395433886907995,1.3842540979385376,268,0.0009472226956859231,810000,177.32,1.28,,,,,
1.999875783920288,1000,0.06173907592892647,0.0002372264862060547,0.017420658841729164,0.06096147745847702,0.00033917269320227206,1.3800294399261475,269,0.0018947009230032563,850000,189.91,1.55,,,,,
,,,,,,,,,,,,,406,0.0003039836883544922,870080,182.32,1.5
1.9979517459869385,1,0.0005026414874009788,-0.01559460163116455,0.017332259565591812,-0.013296951539814472,0.0003080759197473526,1.3813714981079102,238,0.0018929574871435761,880080,177.65,1.26,,,,,
1.9977524280548096,500,0.003491150215268135,-0.00084686279296875,0.017436472699046135,-0.030636314302682877,0.0003318282833788544,1.3813987970352173,263,0.00046611877041868865,920000,177.91,1.25,,,,,
1.9982904195785522,1000,0.025084491819143295,0.0004367232322692871,0.017460409551858902,0.025434862822294235,0.00033682730281725526,1.3816487789154053,262,0.0009194916347041726,960000,191.08,1.61,,,,,
,,,,,,,,,,,,,437,-0.0025365352630615234,980080,171.17,1.15
1.9986165761947632,1,0.001123121241107583,-0.0021855831146240234,0.017323801293969154,-0.014587409794330597,0.00031922906055115163,1.3755778074264526,250,0.0018378107342869043,990080,180.06,1.3,,,,,
1.997725486755371,500,5.475204670801759e-05,-0.08317315578460693,0.017292900010943413,-0.0037250835448503494,0.00035168329486623406,1.3672559261322021,259,0.0014284623321145773,1030000,190.33,1.53,,,,,
1.9953639507293701,1000,0.03904937952756882,0.0004335641860961914,0.01715412363409996,0.017219875007867813,0.00032773835118860006,1.3761322498321533,259,0.00046776109957136214,1070000,185.78,1.4,,,,,
,,,,,,,,,,,,,436,0.0002231001853942871,1090080,174.91,1.19
1.9979069232940674,1,0.05547831207513809,0.0006645321846008301,0.01744779199361801,0.024580473080277443,0.0003485211345832795,1.379146695137024,259,0.001408109557814896,1100080,180.64,1.39,,,,,
1.9980250597000122,500,0.04905083775520325,0.0008336305618286133,0.017240459099411964,0.053812019526958466,0.00033988774521276355,1.3847802877426147,252,0.0014172926312312484,1140000,181.77,1.4,,,,,
