#{"t_start": 1611042592.5895858, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,13.279716
0.0,127,17.593948
0.0,129,22.156516
0.0,129,26.657313
5.0,350,39.555381
2.0,202,47.021564
0.0,125,51.442436
0.0,129,56.100095
0.0,129,60.435827
0.0,129,64.987315
0.0,127,69.463652
0.0,129,74.022482
0.0,127,78.403708
1.0,157,83.921481
0.0,129,88.545506
2.0,224,96.949912
0.0,129,101.542466
4.0,265,111.654307
1.0,156,117.334717
0.0,125,121.729387
0.0,127,126.100555
6.0,357,139.51824
3.0,216,147.60007
0.0,127,152.167127
1.0,173,158.708219
2.0,185,165.52347
0.0,129,170.177333
0.0,129,174.774672
1.0,176,181.202747
0.0,125,185.497099
5.0,328,197.607383
1.0,155,203.056154
5.0,350,216.345819
0.0,129,220.978699
0.0,127,225.373344
0.0,127,229.944086
0.0,125,234.373243
5.0,350,247.779491
1.0,173,254.13499
3.0,246,263.752874
1.0,155,269.178819
0.0,125,273.390099
0.0,129,277.874808
6.0,221,285.917904
2.0,221,294.131237
1.0,155,299.741986
1.0,173,306.104239
0.0,129,310.666409
5.0,352,323.902742
1.0,171,330.058318
2.0,200,337.33244
0.0,127,341.790607
0.0,123,346.013154
3.0,253,355.474287
2.0,202,362.951517
2.0,202,370.304497
0.0,129,374.758369
2.0,224,383.186683
3.0,232,391.915608
4.0,298,403.050568
0.0,125,407.38695
0.0,129,412.065586
0.0,127,416.596303
0.0,125,420.93407
0.0,129,425.352686
0.0,129,429.849293
1.0,173,435.962514
