#{"t_start": 1611042592.1965578, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,13.65265
0.0,129,18.188605
0.0,129,22.676919
0.0,129,27.184147
9.0,404,42.141941
0.0,129,46.752975
5.0,350,59.933082
0.0,129,64.538942
0.0,129,69.039127
9.0,404,84.265546
0.0,127,88.797636
0.0,127,93.269032
2.0,204,100.942557
0.0,127,105.493884
0.0,129,110.092199
5.0,348,123.390435
5.0,350,136.51476
0.0,129,141.018788
1.0,155,146.643726
7.0,250,156.267782
0.0,123,160.703941
0.0,125,165.055366
1.0,173,171.587978
3.0,253,181.050324
0.0,127,185.42761
2.0,200,192.405969
0.0,123,196.769343
3.0,228,205.154331
0.0,127,209.512244
0.0,127,214.06219
5.0,328,226.565885
0.0,129,231.146932
1.0,153,236.679979
2.0,200,244.013551
0.0,127,248.666019
0.0,127,253.074009
0.0,127,257.983194
0.0,123,262.226034
0.0,127,266.751048
1.0,173,272.762344
2.0,202,280.113042
1.0,175,286.415616
0.0,127,290.914269
2.0,222,299.160537
0.0,127,303.589489
0.0,127,308.1238
2.0,187,315.007666
1.0,177,321.379294
2.0,200,328.602929
5.0,330,341.049535
4.0,293,351.933807
0.0,127,356.486414
0.0,129,361.044863
1.0,155,366.550764
0.0,127,371.02125
0.0,125,375.336507
0.0,129,379.973642
2.0,220,388.131916
1.0,173,394.43995
1.0,155,400.129877
0.0,127,404.464761
2.0,202,411.944887
0.0,129,416.590943
0.0,129,421.056966
7.0,428,437.100507
0.0,129,441.705328
0.0,127,446.22728
2.0,200,453.591077
1.0,175,460.040033
1.0,171,466.235111
2.0,202,473.639053
0.0,129,478.128229
