#{"t_start": 1611042591.8519535, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,13.977197
0.0,129,18.512948
9.0,404,33.637468
0.0,127,37.985753
2.0,202,45.315214
2.0,198,52.642179
2.0,202,59.94983
0.0,127,64.470065
0.0,127,68.86863
0.0,129,73.392451
9.0,404,88.729515
0.0,129,93.279228
1.0,176,99.86848
0.0,129,104.395885
0.0,127,108.99471
1.0,175,115.540083
5.0,350,128.727838
0.0,129,133.190026
1.0,158,138.78887
0.0,127,143.30456
2.0,183,150.120322
0.0,129,154.717519
1.0,155,160.529423
1.0,175,166.908367
4.0,264,176.948889
0.0,125,181.372494
2.0,202,188.616661
4.0,297,199.611497
1.0,157,205.152073
0.0,129,209.603648
0.0,127,214.135126
0.0,129,218.735223
2.0,202,226.166147
0.0,129,230.790046
0.0,127,235.330649
0.0,129,239.897752
2.0,202,247.317439
2.0,202,254.922407
2.0,218,263.422449
0.0,129,267.888273
1.0,173,273.889712
6.0,396,288.919653
2.0,222,297.091236
1.0,155,302.723799
4.0,277,313.189241
2.0,202,320.520318
5.0,347,333.464939
0.0,129,338.046201
1.0,177,344.443319
2.0,225,352.740907
2.0,224,361.088241
2.0,202,368.507164
0.0,125,372.777565
0.0,129,377.358536
0.0,129,381.960584
0.0,127,386.444585
0.0,127,391.029769
1.0,173,397.28458
0.0,129,401.826489
0.0,127,406.149911
0.0,127,410.714596
5.0,350,424.025826
2.0,204,431.366868
1.0,172,437.489858
0.0,125,441.921705
0.0,129,446.519308
0.0,125,451.037524
3.0,248,460.250088
0.0,129,464.792579
0.0,129,469.308026
0.0,129,473.866417
0.0,129,478.316861
0.0,129,482.812767
