#{"t_start": 1610951209.0091386, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,123,385.592319
0.0,127,389.830181
0.0,127,393.972503
0.0,129,398.029291
1.0,153,402.80111
0.0,127,800.196896
2.0,224,807.893723
1.0,175,813.800063
2.0,202,1220.694359
1.0,157,1226.100732
5.0,316,1237.359527
0.0,129,1241.739922
1.0,175,1637.921533
3.0,254,1646.730179
0.0,125,1650.831259
0.0,129,1655.226665
4.0,301,2070.838328
2.0,224,2078.862574
1.0,171,2084.675026
0.0,125,2506.394426
1.0,174,2512.409997
0.0,127,2516.714973
3.0,268,2526.163842
0.0,127,2932.672933
1.0,154,2937.958836
0.0,127,2942.270341
1.0,174,2948.277062
2.0,202,3331.035935
2.0,200,3338.229661
0.0,125,3342.546705
0.0,129,3346.824494
0.0,125,3351.076581
0.0,129,3731.974915
0.0,125,3736.051972
1.0,153,3741.206321
1.0,155,3746.566287
2.0,223,4164.985375
3.0,217,4172.323132
0.0,129,4176.462047
2.0,200,4183.242836
0.0,129,4588.528223
1.0,153,4593.42398
4.0,302,4603.41852
0.0,127,4607.384754
0.0,127,4975.549814
0.0,127,4979.925403
0.0,129,4984.225757
0.0,129,4988.583889
0.0,129,4992.811392
0.0,125,5364.870571
0.0,125,5369.055712
0.0,129,5373.321799
1.0,177,5379.213525
1.0,155,5384.384649
1.0,173,5794.657247
0.0,127,5798.803282
0.0,125,5802.920584
0.0,127,5807.00631
0.0,129,5811.156305
0.0,127,6211.600342
2.0,203,6218.552247
3.0,216,6225.9255
0.0,129,6230.041717
2.0,222,6600.962359
0.0,127,6605.098516
0.0,125,6609.197454
0.0,127,6613.478799
2.0,202,6983.154311
0.0,129,6987.450744
0.0,129,6991.742814
0.0,129,6995.975477
3.0,269,7396.279241
3.0,249,7404.540773
3.0,252,7412.930115
3.0,266,7820.38597
6.0,363,7832.89412
3.0,270,8197.329796
2.0,183,8203.367145
1.0,171,8209.115742
0.0,123,8213.079012
0.0,123,8217.082471
0.0,127,8579.87022
1.0,154,8584.972081
4.0,299,8595.375199
5.0,342,8966.434813
0.0,127,8970.60246
9.0,422,9354.188838
3.0,250,9362.749885
2.0,198,9369.596183
2.0,184,9736.115841
1.0,173,9741.738801
3.0,252,9750.215771
0.0,129,9754.289338
1.0,153,10117.735633
2.0,225,10125.417963
1.0,155,10130.6055
0.0,129,10134.692554
1.0,159,10496.982535
5.0,332,10508.561577
0.0,129,10512.734779
8.0,480,10892.956976
1.0,173,10898.79761
2.0,202,11259.230048
0.0,127,11263.35949
1.0,153,11268.399782
2.0,198,11274.998394
0.0,129,11641.145478
0.0,125,11645.253701
0.0,129,11649.46564
2.0,200,11656.355214
0.0,123,11660.362619
0.0,127,12032.151857
0.0,127,12036.320625
2.0,200,12043.171321
4.0,318,12424.21099
0.0,125,12428.303899
1.0,175,12434.142603
4.0,263,12443.248511
1.0,171,12812.680826
1.0,156,12817.84205
3.0,230,12825.585662
0.0,129,12829.724078
4.0,278,13200.665841
0.0,125,13204.643166
1.0,175,13210.391472
0.0,127,13214.473471
4.0,303,13586.580701
1.0,155,13591.621827
1.0,175,13597.419909
0.0,129,13959.383105
0.0,129,13963.517775
1.0,157,13968.683939
4.0,301,13978.782883
1.0,173,14337.452906
6.0,401,14351.010067
0.0,127,14354.940629
0.0,129,14706.072749
0.0,129,14710.184694
1.0,170,14715.724241
1.0,173,14721.301661
1.0,155,15067.428697
0.0,129,15071.522429
2.0,221,15078.704995
1.0,178,15084.517999
0.0,127,15440.99289
4.0,301,15451.199752
1.0,176,15456.933177
0.0,129,15461.23666
2.0,192,15824.184889
0.0,127,15828.250502
2.0,187,15834.418868
3.0,253,16203.494802
0.0,127,16207.750393
2.0,222,16215.690743
4.0,298,16602.408106
0.0,127,16606.841647
2.0,200,16613.938112
0.0,127,16618.406421
0.0,129,16622.915349
0.0,125,17042.757204
1.0,171,17048.807324
4.0,277,17059.073894
0.0,125,17063.498482
4.0,301,17501.725044
1.0,174,17508.002273
0.0,127,17512.298571
1.0,173,17939.435318
0.0,127,17943.788644
4.0,284,17954.064218
2.0,203,17961.188582
2.0,219,18373.745479
0.0,127,18378.060983
3.0,248,18386.820996
2.0,224,18803.726747
1.0,175,18810.140534
4.0,321,18821.963293
0.0,125,19207.681554
0.0,129,19212.101869
10.0,433,19227.96239
0.0,127,19645.758003
0.0,127,19650.134913
3.0,251,19658.89237
4.0,261,20091.813089
2.0,219,20099.636503
2.0,202,20106.847629
2.0,202,20521.32352
1.0,173,20527.191077
1.0,173,20532.775884
5.0,348,20914.606959
0.0,125,20918.984561
3.0,217,20927.05405
1.0,176,20933.347292
0.0,127,21345.266998
2.0,224,21353.319629
1.0,170,21359.197066
2.0,202,21366.286264
2.0,202,21772.219036
4.0,280,21782.428256
0.0,129,21786.793406
5.0,311,22220.134356
1.0,177,22226.385035
5.0,350,22624.76718
1.0,172,22630.910632
1.0,173,22637.06235
0.0,123,22641.209639
1.0,157,22646.806305
1.0,155,23039.272146
2.0,204,23046.630592
0.0,123,23051.030281
2.0,200,23058.299149
1.0,155,23491.639602
1.0,173,23497.543127
1.0,171,23503.420225
1.0,154,23508.715478
0.0,129,23938.137182
0.0,127,23942.645555
5.0,352,23955.563691
1.0,178,24336.135888
1.0,175,24342.16686
2.0,187,24348.622892
2.0,184,24355.010832
1.0,155,24773.733871
1.0,155,24779.267965
6.0,382,24793.416348
2.0,202,25225.751692
2.0,202,25232.971952
0.0,129,25237.355501
4.0,280,25669.832946
3.0,251,25678.956279
0.0,127,25683.325002
0.0,127,25687.584713
1.0,170,26069.494079
2.0,200,26076.411215
0.0,125,26080.553877
0.0,123,26084.605888
1.0,155,26459.958447
0.0,129,26464.024063
0.0,123,26467.992107
0.0,129,26472.358878
0.0,125,26476.566856
0.0,129,26481.028789
2.0,224,26854.339408
8.0,374,26868.232487
4.0,302,27290.256593
4.0,319,27301.865855
1.0,171,27682.234768
1.0,173,27688.234591
2.0,202,27695.593208
2.0,203,27702.985262
1.0,178,28083.666395
0.0,127,28088.109096
0.0,127,28092.398548
0.0,127,28096.825779
10.0,409,28479.137012
1.0,172,28485.195089
2.0,220,28493.179315
10.0,434,28884.297613
2.0,202,28891.549603
1.0,171,29282.60092
0.0,127,29287.050857
1.0,178,29293.431051
0.0,129,29297.939423
1.0,155,29693.81181
0.0,125,29698.203032
1.0,176,29704.500932
3.0,230,29712.798344
1.0,173,30094.009223
3.0,271,30103.831996
1.0,158,30109.298565
0.0,125,30113.472317
2.0,204,30494.077631
3.0,248,30503.18552
0.0,127,30507.430082
3.0,272,30892.189758
2.0,206,30899.537542
3.0,232,30907.762757
4.0,280,31291.719118
1.0,155,31297.213505
10.0,425,31689.159518
2.0,203,31696.493362
0.0,127,31700.837561
0.0,129,31705.352474
0.0,125,31709.666464
1.0,178,32098.089285
0.0,125,32102.48439
1.0,152,32107.681554
0.0,127,32112.03066
1.0,175,32492.663176
3.0,247,32501.135788
1.0,175,32506.990838
0.0,127,32511.072808
0.0,123,32881.105876
1.0,174,32887.063871
7.0,420,32902.035387
0.0,127,33284.829045
2.0,225,33292.733782
3.0,215,33300.632049
0.0,127,33305.039754
2.0,200,33694.414061
4.0,298,33705.266354
4.0,319,34091.35683
1.0,175,34097.613828
0.0,129,34101.988928
1.0,171,34108.051631
0.0,127,34486.370305
0.0,129,34490.914285
0.0,127,34495.175763
1.0,173,34501.585688
2.0,201,34508.626412
0.0,129,34883.959202
0.0,123,34888.273075
2.0,221,34896.192605
0.0,129,34900.725513
0.0,129,35283.433837
0.0,125,35287.870612
1.0,175,35294.198572
2.0,200,35301.243175
0.0,127,35305.578325
0.0,127,35689.664746
3.0,253,35699.035644
0.0,127,35703.356488
3.0,250,36094.999954
2.0,203,36101.971954
0.0,125,36106.101007
0.0,129,36110.424754
1.0,155,36115.705853
0.0,125,36487.597049
1.0,155,36492.782645
1.0,172,36498.62632
2.0,203,36505.65645
0.0,125,36875.471544
3.0,254,36884.721806
0.0,127,36889.002476
0.0,125,36893.184118
3.0,248,37268.392076
0.0,125,37272.807447
1.0,173,37279.039418
4.0,301,37666.207046
4.0,301,37677.142169
0.0,127,37681.416119
4.0,282,38067.899028
1.0,157,38073.234055
0.0,127,38077.546045
0.0,129,38082.032258
0.0,127,38086.481434
5.0,330,38479.129405
0.0,129,38483.533679
2.0,222,38491.478697
0.0,129,38874.876546
3.0,274,38884.811142
1.0,155,38890.350723
0.0,129,38894.86614
1.0,173,39283.639695
1.0,157,39288.969571
1.0,174,39295.026452
4.0,301,39683.41763
2.0,221,39691.064628
1.0,157,39696.505232
2.0,201,40073.315645
0.0,127,40077.551342
3.0,268,40086.971492
2.0,201,40094.049043
0.0,127,40475.250584
1.0,155,40480.597435
0.0,127,40484.888662
1.0,171,40490.796749
0.0,129,40495.003899
3.0,271,40875.063185
0.0,129,40879.272917
0.0,129,40883.428339
0.0,127,40887.768615
0.0,127,41250.552779
0.0,127,41254.696351
0.0,127,41258.988398
0.0,127,41263.161627
0.0,129,41267.455709
0.0,129,41644.090627
0.0,129,41648.500086
0.0,129,41652.82988
1.0,174,41658.92998
0.0,125,41663.141848
2.0,223,42052.49458
0.0,129,42056.830337
0.0,129,42061.2873
6.0,417,42453.162554
2.0,204,42460.295394
0.0,125,42464.490866
0.0,125,42468.816205
4.0,278,42845.951024
0.0,127,42850.223054
2.0,205,42857.440076
0.0,125,42861.495936
0.0,125,43229.343308
0.0,129,43233.719237
0.0,129,43237.965749
3.0,268,43247.377609
1.0,177,43629.22255
0.0,129,43633.422403
1.0,173,43639.394492
0.0,127,43643.60076
4.0,300,44019.252258
2.0,185,44025.172313
0.0,125,44029.042412
1.0,175,44034.652996
1.0,173,44391.257189
0.0,127,44395.229324
0.0,127,44399.163883
0.0,127,44403.134829
5.0,352,44795.931452
1.0,178,44802.397481
1.0,173,44808.669567
1.0,155,44814.271165
1.0,155,45206.205735
2.0,205,45213.698129
0.0,125,45218.008535
2.0,227,45610.58491
0.0,125,45615.093764
1.0,175,45621.520222
1.0,155,45627.235261
0.0,129,45631.718231
1.0,173,46020.3734
1.0,176,46026.744303
1.0,176,46033.235279
0.0,127,46037.626383
0.0,125,46466.648752
2.0,184,46473.187052
2.0,218,46481.236565
1.0,177,46487.698544
2.0,188,46877.010255
0.0,127,46880.890021
1.0,172,46886.441281
4.0,299,47249.8821
0.0,129,47253.949453
1.0,153,47258.7807
1.0,153,47263.728086
1.0,171,47269.197708
0.0,129,47621.113533
3.0,248,47629.306994
2.0,188,47635.571371
0.0,127,47639.607846
1.0,171,47988.816314
0.0,129,47992.972368
0.0,129,47997.002475
4.0,299,48370.618991
1.0,173,48377.021269
6.0,379,48390.907248
9.0,384,48791.720761
4.0,304,48802.955557
1.0,177,49184.742388
2.0,200,49191.960738
0.0,127,49196.292858
1.0,171,49202.450633
3.0,252,49583.265542
1.0,174,49589.291866
2.0,202,49596.22495
0.0,129,49977.609412
0.0,129,49982.117414
0.0,127,49986.540853
0.0,129,49991.121125
4.0,301,50393.017394
4.0,299,50403.96306
0.0,129,50408.37817
3.0,267,50786.403593
1.0,155,50791.658392
2.0,202,50798.528304
2.0,225,50806.233185
0.0,129,51176.628186
0.0,127,51181.013973
0.0,127,51185.2597
1.0,157,51190.59014
0.0,129,51194.955124
1.0,178,51567.76793
0.0,127,51572.017056
0.0,129,51576.408199
0.0,127,51580.466666
1.0,173,51586.380126
0.0,129,51956.120694
2.0,227,51963.962659
0.0,129,51968.198606
3.0,270,52342.934115
1.0,175,52348.885137
0.0,127,52353.197495
1.0,155,52358.417878
1.0,173,52364.281488
2.0,202,52737.573984
2.0,224,52745.25151
3.0,275,53127.385755
0.0,127,53131.674261
0.0,125,53135.862189
0.0,127,53140.129251
2.0,220,53148.043009
2.0,224,53529.063515
1.0,157,53534.242588
1.0,173,53540.298114
1.0,173,53546.199917
2.0,222,53917.397439
3.0,211,53924.745427
0.0,127,53928.913307
0.0,125,53932.993846
2.0,224,54301.008264
0.0,125,54305.171127
5.0,352,54689.093436
3.0,234,54697.562389
3.0,233,54705.981159
5.0,332,55100.193303
0.0,127,55104.383535
1.0,176,55110.428026
0.0,129,55114.63362
4.0,324,55501.07941
2.0,202,55508.18654
1.0,155,55513.532827
1.0,157,55889.11337
0.0,129,55893.467422
0.0,129,55897.719711
0.0,129,55902.131919
3.0,272,56291.448112
1.0,156,56296.78872
0.0,127,56301.241129
1.0,173,56307.27418
0.0,123,56311.34768
0.0,125,56696.736599
0.0,127,56700.978832
5.0,350,56713.579726
1.0,155,57089.047271
6.0,370,57102.207785
0.0,127,57106.454808
0.0,129,57110.703625
1.0,173,57485.2575
2.0,220,57493.083063
1.0,151,57498.354564
1.0,157,57878.185794
1.0,178,57884.116332
0.0,129,57888.292828
1.0,152,57893.349689
2.0,224,58274.879312
3.0,250,58283.916089
3.0,249,58292.695885
0.0,127,58297.01559
2.0,204,58681.830722
3.0,277,58691.864001
2.0,205,58699.114947
1.0,153,59079.397236
2.0,202,59086.631363
1.0,155,59092.122714
0.0,125,59096.350367
2.0,200,59482.440075
0.0,127,59486.819347
3.0,230,59495.021384
2.0,224,59881.570812
1.0,178,59887.695318
0.0,129,59892.041383
3.0,251,59901.034068
1.0,157,60283.884709
3.0,270,60293.150317
0.0,129,60297.396158
4.0,262,60686.583441
0.0,125,60690.797293
1.0,178,60697.076193
1.0,178,60703.327787
1.0,155,61092.89029
0.0,127,61097.177161
3.0,232,61105.363978
3.0,251,61114.266334
3.0,253,61502.479764
0.0,127,61506.701343
2.0,200,61513.590008
0.0,127,61893.406673
0.0,127,61897.629221
0.0,127,61901.790478
0.0,129,61906.115811
0.0,129,61910.33661
2.0,202,62279.82707
1.0,175,62285.860237
0.0,129,62290.183403
1.0,155,62295.39546
2.0,223,62674.298594
2.0,190,62680.660089
3.0,214,62687.741412
3.0,253,63070.54416
0.0,129,63074.765068
4.0,298,63085.314822
1.0,171,63091.318933
0.0,129,63473.445242
0.0,129,63477.73321
0.0,127,63482.119762
0.0,125,63486.269108
5.0,348,63917.136482
2.0,206,63924.379098
1.0,178,63930.507189
0.0,127,63934.690216
2.0,203,64359.633449
2.0,222,64366.959113
2.0,202,64373.829004
2.0,204,64799.598441
5.0,320,64810.940331
0.0,127,64815.098792
0.0,129,65237.337942
0.0,127,65241.493444
0.0,129,65245.694289
2.0,224,65253.755972
