#{"t_start": 1610951207.8417447, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,271,392.383014
9.0,403,799.274928
0.0,129,803.605886
1.0,176,809.481531
3.0,269,818.824214
0.0,129,1223.053257
2.0,206,1230.254201
2.0,202,1237.268778
1.0,177,1243.526908
0.0,127,1637.81107
4.0,293,1648.134523
1.0,175,1654.134615
0.0,127,2063.352742
2.0,202,2070.343504
0.0,127,2074.53902
0.0,129,2078.932255
1.0,173,2084.854177
2.0,200,2509.467551
2.0,201,2516.427597
1.0,153,2521.57051
0.0,129,2525.948201
1.0,175,2934.302984
2.0,224,2942.27608
0.0,129,2946.533198
0.0,127,2950.774699
1.0,153,3331.741817
1.0,173,3337.858773
0.0,127,3342.271709
5.0,350,3731.4791
2.0,202,3738.564464
0.0,127,3742.719251
1.0,175,3748.858085
1.0,176,4165.447649
0.0,127,4169.675925
1.0,157,4174.744549
0.0,129,4178.862634
1.0,155,4184.022604
1.0,178,4591.08581
0.0,129,4595.124043
3.0,250,4603.225022
0.0,127,4607.27585
1.0,173,4977.053647
2.0,201,4984.204894
0.0,127,4988.504135
1.0,177,4994.547678
1.0,153,5367.609264
0.0,129,5371.940809
4.0,302,5382.422534
1.0,175,5792.668617
2.0,202,5799.697452
2.0,219,5807.115451
2.0,202,5814.024772
1.0,157,6215.638647
1.0,173,6221.407677
0.0,127,6225.566725
2.0,222,6232.990288
1.0,178,6602.360858
0.0,127,6606.488712
0.0,127,6610.651661
1.0,176,6616.656507
0.0,127,6983.580621
2.0,201,6990.573705
1.0,173,6996.460195
4.0,275,7006.027416
0.0,127,7400.99916
7.0,372,7413.632696
1.0,171,7419.149557
0.0,129,7821.80697
1.0,178,7827.744767
0.0,127,7831.823998
2.0,198,7838.260832
0.0,127,8197.605255
0.0,125,8201.610701
1.0,154,8206.696568
0.0,127,8210.799782
4.0,319,8580.59786
3.0,251,8589.171236
0.0,127,8593.288995
2.0,205,8959.587062
3.0,272,8968.865565
0.0,129,8973.013901
1.0,157,8978.329315
0.0,127,9351.206171
1.0,175,9357.039892
