value_loss,explained_variance,reconstruct_loss,contrastive_loss,atten_decoder_loss,total_timesteps,policy_loss,fps,atten_encoder_loss,policy_entropy,nupdates,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
0.007570049725472927,-28.554414749145508,0.014968154020607471,1.3403735160827637,0.6390702128410339,80,0.038972415030002594,15,0.021759843453764915,0.5333355069160461,1,,,,,,,
0.030237268656492233,0.0018912553787231445,0.017133496701717377,1.9521071910858154,1.3731439113616943,40000,-0.025875274091959,261,0.023311367258429527,1.1725904941558838,500,194.6,1.82,,,,,
0.03717455640435219,-0.01222217082977295,0.01750187948346138,1.990684986114502,0.024624664336442947,80000,0.02664398029446602,268,0.023179611191153526,1.3476448059082031,1000,199.79,1.8,,,,,
,,,,,,,,,,,,,100080,171,-0.2908982038497925,,
0.004408455453813076,-0.0024160146713256836,0.01751682162284851,1.9977421760559082,0.015224752016365528,110080,-0.02785201370716095,278,0.00019295758102089167,1.3547743558883667,1,178.23,1.3,,,,,
0.05867009609937668,0.0002079606056213379,0.017174184322357178,2.000019073486328,0.011176969856023788,150000,0.0671643614768982,250,4.34608846262563e-05,1.385074257850647,500,178.16,1.27,,,,,
0.060180217027664185,0.0007299184799194336,0.017381921410560608,1.997205138206482,0.012156798504292965,190000,0.07049324363470078,253,0.0001177217491203919,1.3813070058822632,1000,181.83,1.29,,,,,
,,,,,,,,,,,,,210080,476,0.000298917293548584,0.9642857142857143,162.16071428571428
0.00044719153083860874,-0.012535810470581055,0.017493903636932373,2.0001628398895264,0.012674468569457531,220080,-0.01119510643184185,243,6.670655420748517e-05,1.3794914484024048,1,179.05,1.26,,,,,
0.02502645179629326,0.00042062997817993164,0.017378030344843864,1.9997427463531494,0.009181411936879158,260000,0.02236022800207138,250,1.9611714378697798e-05,1.3759956359863281,500,178.81,1.29,,,,,
0.036793626844882965,0.0012159347534179688,0.01750820316374302,1.9982855319976807,0.009167334996163845,300000,0.04755101352930069,250,4.341253952588886e-05,1.3824903964996338,1000,175.86,1.29,,,,,
,,,,,,,,,,,,,320080,447,-0.002660512924194336,1.54,186.94
0.009652029722929,-0.0015960931777954102,0.01738211326301098,1.9978866577148438,0.011184182949364185,330080,-0.05820032209157944,246,5.70137235627044e-05,1.3793754577636719,1,166.04,1.0,,,,,
0.0004186060687061399,-0.030380725860595703,0.01727304980158806,1.9962456226348877,0.01272062212228775,370000,-0.011599230580031872,255,0.0001352897670585662,1.385210633277893,500,188.66,1.54,,,,,
