#{"t_start": 1610715425.0557215, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,172,440.667964
0.0,129,446.489287
3.0,252,457.097383
0.0,129,921.848122
1.0,153,927.883835
2.0,221,937.252801
2.0,202,945.267112
0.0,127,1397.031604
0.0,129,1401.899869
0.0,125,1406.761196
2.0,188,1414.17383
2.0,200,1422.525851
0.0,127,1887.506805
0.0,127,1892.299808
2.0,190,1900.346921
0.0,127,1905.086883
1.0,157,2360.079968
0.0,123,2365.038566
1.0,175,2373.057032
1.0,155,2379.079184
1.0,153,2385.195656
2.0,202,2853.637655
1.0,172,2859.963037
2.0,199,2867.951797
1.0,155,2874.01481
0.0,127,3325.184291
3.0,254,3336.085512
0.0,129,3341.098808
1.0,157,3347.504493
0.0,125,3796.061793
3.0,250,3806.52154
0.0,129,3811.077951
4.0,300,4238.329324
0.0,129,4243.072867
1.0,157,4249.666041
3.0,229,4259.307947
1.0,153,4723.620576
0.0,125,4728.647564
2.0,224,4738.924125
2.0,201,4747.216083
2.0,200,5212.047623
1.0,154,5217.825341
1.0,171,5224.032596
2.0,202,5651.913527
0.0,127,5656.593973
0.0,127,5662.066982
1.0,173,5669.237299
2.0,202,5677.623519
1.0,177,6117.505893
2.0,202,6125.411799
1.0,173,6132.290549
0.0,129,6136.900937
1.0,155,6597.72454
2.0,200,6606.375783
0.0,129,6611.631208
3.0,270,7072.90661
1.0,157,7078.895823
0.0,127,7083.853401
1.0,178,7090.622311
1.0,155,7096.697313
0.0,129,7514.740711
0.0,129,7520.043907
1.0,157,7526.621347
3.0,254,7537.831962
5.0,309,7995.588693
0.0,125,8000.641351
3.0,232,8009.933962
2.0,222,8450.442139
0.0,125,8455.372596
1.0,154,8461.851437
0.0,129,8467.001602
2.0,223,8939.219145
1.0,175,8946.577058
4.0,300,8959.306893
0.0,129,9404.350767
1.0,173,9412.059385
3.0,277,9424.826611
5.0,302,9885.025744
0.0,129,9889.917562
3.0,253,9900.169373
0.0,129,9905.502451
0.0,127,10364.546506
1.0,157,10371.677795
0.0,127,10376.995893
4.0,299,10885.569183
1.0,153,10892.162881
0.0,125,10897.43688
0.0,123,10902.577277
5.0,294,11361.8833
5.0,368,11378.264285
3.0,248,11388.586038
4.0,299,11837.587678
0.0,129,11842.685818
1.0,157,11849.689728
3.0,270,12356.88376
0.0,125,12362.325313
0.0,129,12368.251863
0.0,125,12373.961179
8.0,373,12836.829493
0.0,127,12842.420011
0.0,127,12847.867997
0.0,125,12853.123868
0.0,129,13323.308695
0.0,129,13328.804973
0.0,123,13333.82049
2.0,198,13342.550238
2.0,202,13804.456789
5.0,350,13820.400629
0.0,127,13825.754023
0.0,129,13830.960644
0.0,129,14278.927805
0.0,129,14284.265967
9.0,404,14302.00935
0.0,127,14758.721161
3.0,248,14768.984946
0.0,127,14774.045787
3.0,248,15193.663725
5.0,350,15208.91969
0.0,127,15214.113465
9.0,404,15650.14795
0.0,129,15654.559997
0.0,127,15659.196607
0.0,127,15663.61234
2.0,200,16066.860308
5.0,352,16080.794014
0.0,127,16085.673241
0.0,125,16514.657456
5.0,350,16529.653956
0.0,127,16534.47659
0.0,125,16971.072657
5.0,352,16984.328043
8.0,375,17414.853251
0.0,129,17419.903279
2.0,202,17429.186348
9.0,404,17848.728628
0.0,129,17852.863271
0.0,127,17858.14728
5.0,327,18341.773182
0.0,127,18345.949358
5.0,350,18359.161363
0.0,129,18760.240488
0.0,127,18765.028821
9.0,404,18781.262468
9.0,404,19195.923211
0.0,127,19200.740632
3.0,268,19647.101961
0.0,127,19651.496388
2.0,202,19658.860461
9.0,404,20094.610819
9.0,404,20110.397957
2.0,202,20498.630383
0.0,127,20502.830127
2.0,205,20510.381822
0.0,127,20514.172967
0.0,127,20518.885119
9.0,404,20970.196805
3.0,246,20979.583772
4.0,313,21426.198883
0.0,129,21430.925546
0.0,127,21435.644171
1.0,171,21862.214705
4.0,319,21875.155776
0.0,127,21879.773542
0.0,129,21884.209594
4.0,297,22290.066874
0.0,129,22294.734451
2.0,204,22302.39274
9.0,404,22753.317514
0.0,129,22758.366417
0.0,127,22763.304005
5.0,350,23208.066863
