#{"t_start": 1610715423.4790182, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
6.0,356,450.932787
1.0,173,458.224774
5.0,350,932.604496
0.0,127,937.672619
2.0,198,945.610686
0.0,129,950.396876
1.0,157,1403.66141
6.0,400,1420.836081
8.0,352,1895.038459
1.0,174,1902.575048
4.0,295,2363.322587
1.0,173,2370.725161
2.0,204,2379.531429
0.0,123,2384.593621
1.0,172,2851.561304
1.0,157,2857.816566
0.0,127,2862.25257
8.0,439,3326.857196
1.0,155,3333.349535
2.0,203,3341.67247
3.0,234,3795.575026
1.0,173,3802.02037
3.0,251,3812.10176
2.0,198,3820.780242
0.0,129,4239.996538
4.0,298,4252.495798
0.0,127,4257.481344
1.0,175,4722.204152
0.0,127,4727.959865
0.0,125,4733.175614
0.0,129,4738.919263
0.0,127,4743.986729
0.0,129,4749.127896
1.0,173,5212.714623
4.0,296,5224.040061
2.0,225,5652.885318
0.0,129,5657.614086
0.0,127,5663.154966
1.0,173,5670.414351
0.0,127,5675.060309
3.0,270,6119.475655
2.0,205,6127.441079
2.0,201,6135.327641
2.0,183,6596.938367
3.0,247,6607.815207
0.0,125,6612.934371
1.0,153,6618.921411
1.0,173,7075.867381
1.0,172,7082.640997
0.0,127,7087.436522
2.0,202,7095.467998
0.0,129,7513.180597
0.0,125,7518.294534
0.0,125,7523.51999
0.0,127,7528.687627
2.0,203,7537.500598
1.0,173,7989.590763
1.0,155,7995.658128
3.0,248,8005.691456
0.0,125,8010.54971
0.0,127,8446.608568
8.0,372,8462.996144
1.0,171,8469.895426
2.0,205,8941.600376
1.0,173,8948.785165
1.0,157,8955.285269
1.0,173,8962.219547
0.0,129,9407.374026
6.0,392,9425.771528
3.0,252,9884.064331
2.0,202,9891.901278
1.0,173,9898.656102
4.0,299,10365.479737
0.0,125,10370.9722
0.0,129,10376.573996
0.0,129,10381.937817
0.0,129,10387.705119
2.0,182,10890.482774
3.0,274,10902.669251
3.0,248,10914.015885
0.0,125,11365.11718
0.0,129,11370.518984
5.0,350,11385.743724
4.0,278,11833.388201
3.0,270,11845.212221
0.0,125,11850.722059
0.0,127,12350.453414
2.0,200,12359.868997
0.0,129,12365.589954
0.0,125,12371.276645
0.0,123,12376.915076
9.0,404,12841.38786
2.0,200,12850.300194
2.0,202,13323.943582
0.0,129,13329.531539
9.0,404,13347.928517
0.0,125,13806.116161
4.0,297,13819.340891
0.0,125,13824.829061
0.0,123,13829.834927
2.0,200,14281.037493
0.0,129,14286.347756
4.0,299,14299.438547
0.0,127,14304.500192
2.0,202,14764.63191
5.0,350,14779.374724
2.0,202,15197.003831
5.0,350,15212.20973
2.0,202,15220.453609
0.0,127,15644.998821
0.0,127,15649.971549
9.0,404,15665.020138
2.0,202,16068.367579
0.0,127,16073.593786
0.0,129,16077.676347
0.0,129,16082.63277
3.0,271,16517.877857
0.0,129,16522.85764
0.0,125,16528.003803
5.0,350,16974.069056
2.0,202,16981.583117
5.0,350,16995.217331
2.0,200,17418.428885
5.0,350,17434.808355
0.0,125,17440.481164
2.0,220,17850.739465
2.0,198,17858.234347
2.0,200,17866.767271
5.0,350,18350.20222
5.0,350,18363.439438
9.0,404,18775.792048
0.0,129,18780.503182
9.0,404,19195.013789
0.0,129,19200.197691
4.0,297,19647.976556
0.0,127,19652.404502
0.0,127,19657.036887
0.0,127,19661.112379
5.0,350,20094.748211
0.0,125,20099.463972
10.0,450,20116.829839
0.0,129,20501.843198
0.0,125,20506.184998
0.0,127,20510.671434
0.0,127,20514.626763
0.0,127,20519.00758
5.0,350,20968.067528
0.0,127,20972.854665
4.0,297,21418.590549
8.0,371,21433.360684
0.0,125,21438.072781
1.0,173,21864.813554
2.0,201,21872.470512
4.0,259,21882.716532
7.0,428,22293.749012
4.0,278,22304.377764
0.0,127,22743.243174
2.0,198,22751.468061
0.0,125,22756.109436
9.0,404,23203.811768
0.0,127,23208.45445
5.0,350,23222.128708
2.0,202,23661.964416
0.0,129,23666.924852
2.0,202,23674.766971
5.0,350,24082.282921
0.0,127,24086.416127
0.0,127,24090.714257
1.0,171,24096.945805
2.0,200,24492.804157
5.0,350,24505.676087
0.0,127,24509.937486
0.0,129,24514.796651
1.0,152,24937.737659
0.0,125,24943.097128
0.0,129,24948.647984
