policy_entropy,fps,reconstruct_loss,nupdates,policy_loss,contrastive_loss,value_loss,atten_decoder_loss,total_timesteps,atten_encoder_loss,explained_variance,ep_reward_mean,ep_len_mean,explained_variance_eval,total_timesteps_eval,fps_eval,ep_len_mean_eval,ep_reward_mean_eval
1.2041027545928955,15,0.015058692544698715,1,0.04278457909822464,1.4583532810211182,0.004549046512693167,0.4647365212440491,80,0.018138138577342033,-21.82493019104004,,,,,,,
1.2474608421325684,252,0.017504051327705383,500,0.13965687155723572,1.9862375259399414,0.10542752593755722,0.6126588582992554,40000,0.019442303106188774,-0.004407763481140137,2.31,216.96,,,,,
1.3728662729263306,243,0.01720886118710041,1000,-0.01376228779554367,1.9462971687316895,0.06789448857307434,0.24089805781841278,80000,0.02116658352315426,0.0027190446853637695,2.0,203.22,,,,,
,,,,,,,,,,,,,-10.169352531433105,100080,141,,
1.3740942478179932,238,0.01738692820072174,1,0.0014243253972381353,1.980074167251587,0.00011634950351435691,0.05438172072172165,110080,0.01856645755469799,0.14300668239593506,1.46,185.58,,,,,
1.3729276657104492,209,0.017323683947324753,500,0.0804453194141388,1.9855475425720215,0.060268886387348175,0.04055844619870186,150000,0.015126190148293972,-0.0004500150680541992,1.53,187.11,,,,,
1.3661766052246094,215,0.017354218289256096,1000,0.06765098124742508,2.001608371734619,0.060098521411418915,0.04491628333926201,190000,0.00455031031742692,0.0308912992477417,1.76,194.63,,,,,
,,,,,,,,,,,,,0.09410828351974487,210080,360,178.01923076923077,1.2692307692307692
1.3785786628723145,250,0.01735529489815235,1,-0.016163554042577744,1.9898216724395752,0.0012254257453605533,0.036332614719867706,220080,0.02273593470454216,0.08001691102981567,1.63,189.53,,,,,
1.3791258335113525,229,0.01717495732009411,500,-0.038437724113464355,1.9959474802017212,0.0053374250419437885,0.04904855415225029,260000,0.0001435403391951695,-0.00253140926361084,1.55,189.62,,,,,
