#{"t_start": 1610523394.4400847, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,1166.224132
3.0,249,1172.013126
0.0,127,1175.125687
0.0,125,1177.12924
0.0,129,1179.355707
7.0,428,1190.197971
0.0,125,1193.257343
2.0,202,1197.466175
0.0,127,1200.005655
0.0,129,1202.961459
1.0,157,1206.463151
0.0,125,1208.858387
0.0,127,1212.037804
0.0,129,1215.865476
0.0,127,1219.887688
0.0,129,1223.033352
3.0,248,1229.889896
0.0,129,1232.673563
0.0,127,1235.874902
0.0,127,1239.225654
3.0,226,1244.969977
3.0,246,1251.942387
0.0,125,1254.900943
1.0,172,1258.790233
2.0,204,1262.773135
0.0,127,1265.741954
0.0,125,1268.618171
0.0,125,1271.390233
1.0,175,1275.643547
6.0,373,1283.035335
1.0,153,1285.714259
1.0,171,1290.014481
1.0,173,1293.025961
2.0,201,1298.022773
0.0,127,1300.637992
4.0,319,1308.017715
0.0,127,1310.623739
0.0,129,1313.947625
2.0,201,1319.305645
2.0,217,1324.601403
1.0,173,1328.294102
4.0,279,1336.017941
0.0,125,1338.354974
0.0,129,1340.929593
0.0,129,1344.066205
0.0,127,1347.261715
2.0,202,1351.498612
0.0,129,1354.069671
0.0,129,1357.476981
1.0,155,1360.965861
3.0,250,1366.086636
1.0,177,1369.442527
1.0,171,1372.861774
0.0,127,1376.132797
0.0,127,1378.536575
1.0,176,1382.572319
0.0,125,1385.894097
5.0,348,1393.225348
0.0,129,1396.232055
1.0,171,1400.831869
0.0,129,1403.645927
3.0,250,1409.085227
2.0,185,1412.369612
3.0,251,1417.50635
3.0,234,1421.709713
1.0,173,1424.326017
0.0,125,1427.063541
2.0,206,1431.312653
1.0,172,1435.214866
1.0,156,1438.433796
4.0,299,1444.908068
2.0,222,1450.109394
0.0,129,1453.380941
0.0,129,1456.07733
2.0,205,1459.717285
2.0,206,1464.49732
6.0,358,1473.391708
0.0,123,1475.714123
4.0,321,1481.974057
0.0,127,1484.502962
0.0,129,1487.359485
3.0,250,1492.417027
0.0,127,1495.764096
1.0,169,1499.229708
0.0,127,1501.34998
2.0,207,1505.67029
3.0,251,1510.264744
1.0,176,1513.617476
0.0,125,1515.844481
1.0,157,1518.37003
0.0,127,1521.159859
3.0,252,1525.361792
3.0,270,1529.589992
0.0,127,1532.006919
1.0,173,1535.57381
3.0,250,1540.686616
0.0,129,1543.30096
1.0,173,1546.916287
6.0,354,1554.543618
4.0,291,1561.323869
0.0,129,1563.799676
1.0,155,1566.89013
0.0,125,1569.399439
0.0,127,1571.938563
0.0,125,1574.129194
0.0,125,1577.436261
2.0,202,1581.170133
1.0,173,1584.806961
0.0,123,1586.876252
4.0,301,1593.23004
2.0,219,1597.52857
3.0,252,1603.304942
2.0,181,1607.047302
0.0,125,1609.731313
1.0,155,1612.915139
1.0,169,1616.357993
1.0,173,1619.576105
3.0,250,1625.068158
0.0,129,1628.101602
0.0,127,1630.657009
3.0,230,1636.896029
2.0,202,1641.173473
2.0,202,1645.553298
0.0,125,1648.086733
0.0,129,1651.085918
0.0,127,1653.701277
2.0,201,1657.607335
0.0,127,1660.121404
0.0,127,1663.105378
2.0,200,1667.534027
3.0,272,1672.876885
4.0,301,1679.295915
0.0,129,1682.192415
0.0,129,1684.935195
0.0,129,1687.272244
2.0,186,1690.321981
0.0,129,1692.430997
2.0,204,1695.920551
4.0,294,1701.754841
2.0,205,1706.622402
0.0,125,1709.04911
1.0,153,1712.93768
0.0,129,1715.0.0,127,1755.718273
3.0,252,1766.381454
3.0,231,1776.382426
4.0,280,1788.29075
1.0,154,1795.127612
0.0,125,1800.957369
0.0,129,1805.983673
1.0,175,1812.874424
5.0,2942.0,222,2904.883049
1.0,175,2908.242568
1.0,155,2911.821708
1.0,153,2914.898204
2.0,188,2919.176887
0.0,125,2922.209319
3.0,231,2926.497457
3.0,250,2931.800124
1.0,150,2935.038172
0.0,127,2937.396299
0.0,129,2939.706402
1.0,172,2944.127452
0.0,127,2947.08523
1.0,172,2951.275601
2.0,200,2955.64386
0.0,127,2958.436056
3.0,216,2963.091496
0.0,125,2965.661198
1.0,153,2968.293228
1.0,155,2971.110711
0.0,125,2973.568393
1.0,170,2976.5497
1.0,155,2980.166564
1.0,157,2983.498266
2.0,203,2986.326705
0.0,127,2988.845937
0.0,125,2991.040847
1.0,153,2994.353651
0.0,125,2996.334734
0.0,123,2998.435573
0.0,129,3000.433895
2.0,201,3004.72291
0.0,127,3007.127206
1.0,153,3009.830521
1.0,178,3014.093242
1.0,173,3018.060166
1.0,155,3021.614133
1.0,172,3025.040807
0.0,129,3027.475185
0.0,129,3030.131893
1.0,152,3033.429405
0.0,127,3036.220062
0.0,127,3038.948825
1.0,152,3042.091531
1.0,155,3046.00814
0.0,127,3048.83569
1.0,151,3052.670794
1.0,153,3055.733736
1.0,154,3059.541105
1.0,176,3063.089436
3.0,211,3067.778227
1.0,169,3071.438777
2.0,223,3075.975011
0.0,129,3079.245486
1.0,151,3082.710217
0.0,127,3085.353523
1.0,154,3088.41387
0.0,127,3091.412874
2.0,200,3094.965823
5.0,308,3101.930444
2.0,200,3106.328911
1.0,171,3109.634429
