#{"t_start": 1610715418.6294777, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,445.116653
4.0,297,458.340684
1.0,157,465.15474
3.0,268,939.636107
0.0,129,944.895185
1.0,171,951.688469
2.0,201,1417.318595
1.0,157,1423.607077
4.0,261,1434.39945
9.0,402,1914.772016
0.0,129,1920.298319
1.0,176,1927.034628
0.0,127,1932.680246
1.0,157,2396.161028
1.0,173,2403.180579
0.0,125,2408.520665
1.0,172,2415.554009
3.0,248,2886.100805
0.0,127,2890.746068
9.0,405,2907.550772
1.0,175,3359.633864
0.0,125,3364.717319
1.0,154,3370.988563
1.0,175,3378.360892
1.0,153,3829.857752
2.0,202,3838.480674
0.0,129,3843.165956
0.0,125,3848.159834
2.0,205,4273.466962
1.0,158,4280.131965
0.0,125,4285.200618
1.0,176,4292.299969
1.0,176,4299.678062
2.0,187,4766.126571
0.0,129,4771.895979
1.0,175,4779.05333
0.0,129,4784.497538
2.0,223,5247.910166
2.0,200,5255.662604
0.0,125,5260.151002
0.0,127,5264.866139
2.0,183,5698.849425
1.0,155,5704.992644
1.0,172,5712.188007
0.0,127,5717.260899
0.0,127,6153.968326
0.0,129,6158.988185
4.0,286,6171.012782
1.0,158,6177.136475
2.0,199,6654.27263
0.0,127,6659.453801
1.0,176,6666.271906
0.0,129,6671.946387
2.0,202,7130.257823
2.0,220,7138.988899
3.0,232,7148.198956
3.0,270,7583.287216
1.0,170,7590.407247
0.0,127,7595.993365
1.0,178,7603.435823
0.0,123,8053.631811
0.0,127,8058.254499
2.0,204,8066.554998
1.0,155,8072.60242
2.0,206,8533.86401
0.0,129,8539.23141
1.0,176,8546.408038
0.0,127,8551.628625
1.0,157,8558.004989
0.0,127,9024.112346
0.0,129,9028.807096
1.0,157,9034.888924
6.0,382,9502.397493
1.0,173,9509.528509
1.0,176,9516.851888
1.0,178,9524.569013
3.0,250,9987.175099
2.0,202,9995.262162
0.0,127,10000.257043
0.0,125,10005.104037
3.0,271,10483.596236
