fps,policy_entropy,value_loss,atten_encoder_loss,reconstruct_loss,nupdates,total_timesteps,policy_loss,contrastive_loss,atten_decoder_loss,explained_variance,ep_len_mean,ep_reward_mean,fps_eval,total_timesteps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
,,,,,,,,,,,,,359,1530080,0.0005880594253540039,1.19,173.5
241,1.3795881271362305,0.016533901914954185,2.244763345515821e-05,0.017429567873477936,1,1540080,-0.013774847611784935,1.9967941045761108,0.02556111477315426,-0.00023496150970458984,182.69,1.39,,,,,
218,1.3850650787353516,0.06808628886938095,3.612685395637527e-05,0.017087090760469437,500,1580000,0.022143585607409477,1.9966405630111694,0.027839209884405136,0.0002893805503845215,192.85,1.61,,,,,
221,1.3858038187026978,0.00011966488091275096,6.726395076839253e-05,0.017283817753195763,1000,1620000,-0.004675521515309811,1.9982573986053467,0.030848290771245956,-0.031003594398498535,174.91,1.18,,,,,
,,,,,,,,,,,,,394,1640080,0.0008070468902587891,1.52,183.98
269,1.3859903812408447,0.007934262976050377,0.00013319298159331083,0.017475347965955734,1,1650080,-0.057688646018505096,1.9990136623382568,0.030297651886940002,-0.010207295417785645,180.65,1.36,,,,,
238,1.3853727579116821,0.03671155124902725,3.251460657338612e-05,0.017354249954223633,500,1690000,0.04530429095029831,1.9977208375930786,0.03084910847246647,0.00035327672958374023,181.82,1.41,,,,,
240,1.3858518600463867,0.004909186623990536,2.8535407182062045e-05,0.01758604682981968,1000,1730000,-0.04389645904302597,1.9981186389923096,0.02524321712553501,-0.010739326477050781,187.18,1.54,,,,,
,,,,,,,,,,,,,307,1750080,-0.005868434906005859,1.7,193.08
205,1.3822529315948486,0.00407096603885293,3.168432886013761e-05,0.017438789829611778,1,1760080,-0.03996249660849571,2.0000014305114746,0.027093565091490746,-0.0034602880477905273,179.35,1.28,,,,,
223,1.3822283744812012,0.004921217914670706,2.2373302272171713e-05,0.01732303388416767,500,1800000,-0.03723105788230896,1.9977178573608398,0.03006351925432682,-0.0056416988372802734,174.64,1.22,,,,,
222,1.3707988262176514,0.0376630499958992,0.0,0.017268674448132515,1000,1840000,0.033557869493961334,1.9960403442382812,0.03135180100798607,0.0012727975845336914,179.36,1.27,,,,,
,,,,,,,,,,,,,281,1860080,0.00040775537490844727,1.3,179.54
249,1.380629539489746,0.04800788313150406,5.617272108793259e-05,0.017307188361883163,1,1870080,0.06214727833867073,1.9988009929656982,0.027358707040548325,0.000447690486907959,185.08,1.53,,,,,
226,1.3780962228775024,0.06309352070093155,0.00015111725952010602,0.01739480532705784,500,1910000,0.05574779957532883,1.9969310760498047,0.028719764202833176,0.0010732412338256836,193.62,1.7,,,,,
222,1.3793096542358398,0.04553890973329544,4.882812845607987e-06,0.01727970689535141,1000,1950000,-0.013001921586692333,1.9954441785812378,0.02270556055009365,-0.0001857280731201172,189.98,1.55,,,,,
,,,,,,,,,,,,,416,1970080,0.0003858804702758789,1.39,184.53
187,1.375196933746338,0.005591336637735367,0.00011935515067307279,0.017424307763576508,1,1980080,-0.03817608952522278,1.99907648563385,0.02506450191140175,-0.006008625030517578,173.07,1.16,,,,,
220,1.3800201416015625,0.0045797512866556644,3.416580148041248e-05,0.017267350107431412,500,2020000,-0.04063284769654274,1.9980864524841309,0.03090934455394745,-0.006684422492980957,174.48,1.19,,,,,
217,1.3859683275222778,0.061479680240154266,8.622297900728881e-05,0.017411552369594574,1000,2060000,0.06065809726715088,1.9973978996276855,0.033306531608104706,0.0008861422538757324,172.56,1.17,,,,,
,,,,,,,,,,,,,323,2080080,-0.015339851379394531,1.37,183.6
202,1.3860971927642822,0.062235891819000244,0.00014467237633652985,0.017355632036924362,1,2090080,0.05667597055435181,2.0003223419189453,0.026222240179777145,0.0004763603210449219,175.97,1.24,,,,,
217,1.386186122894287,0.08561332523822784,0.00010494666639715433,0.017417537048459053,500,2130000,0.09866609424352646,1.9959837198257446,0.02774929627776146,0.0005244612693786621,184.83,1.37,,,,,
220,1.384925365447998,0.0015606395900249481,8.058029925450683e-05,0.01737942360341549,1000,2170000,-0.02167006954550743,1.996945858001709,0.029407288879156113,-0.027414441108703613,181.61,1.31,,,,,
,,,,,,,,,,,,,414,2190080,-0.009430527687072754,1.3,181.79
223,1.3847030401229858,0.0013894099975004792,0.00011846104462165385,0.017297906801104546,1,2200080,-0.016863420605659485,1.995013952255249,0.026928147301077843,-0.006447434425354004,182.42,1.4,,,,,
235,1.384892225265503,0.001675046980381012,0.00010892853606492281,0.017361806705594063,500,2240000,-0.019619418308138847,2.000605821609497,0.030485117807984352,-0.02602207660675049,181.85,1.37,,,,,
219,1.3845349550247192,0.002261493355035782,9.052870882442221e-05,0.017221862450242043,1000,2280000,-0.03014281764626503,1.996269702911377,0.023818345740437508,-0.00795602798461914,176.91,1.27,,,,,
,,,,,,,,,,,,,297,2300080,0.0009098649024963379,1.34,182.71
197,1.3833577632904053,0.12294486910104752,0.00010828485392266884,0.01745001971721649,1,2310080,0.13589707016944885,1.9994757175445557,0.030684728175401688,0.002278566360473633,177.98,1.26,,,,,
208,1.3828332424163818,0.003902957309037447,7.236162491608411e-05,0.017509933561086655,500,2350000,-0.03307333588600159,1.9996652603149414,0.028587976470589638,-0.0023392438888549805,170.52,1.1,,,,,
214,1.3839192390441895,0.0074391476809978485,0.00011695334978867322,0.017305374145507812,1000,2390000,-0.052365828305482864,1.996791124343872,0.02848890796303749,-0.009499430656433105,165.87,0.97,,,,,
,,,,,,,,,,,,,303,2410080,-0.0028079748153686523,1.14,171.99
193,1.3845155239105225,0.025745904073119164,4.401678961585276e-05,0.017468268051743507,1,2420080,0.017224060371518135,2.0001888275146484,0.031095361337065697,0.0009290575981140137,168.77,1.02,,,,,
