#{"t_start": 1610356254.9845524, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,439.055441
0.0,127,440.011698
0.0,125,440.954401
1.0,173,442.319225
2.0,199,443.848871
0.0,127,444.837691
9.0,405,448.070349
0.0,129,449.039255
0.0,127,449.960326
0.0,129,450.943348
2.0,202,452.52329
0.0,127,453.519389
1.0,155,454.737824
3.0,272,456.851103
3.0,272,459.012488
0.0,127,460.020012
0.0,127,460.971213
1.0,172,462.327366
0.0,127,463.314376
1.0,177,464.664242
3.0,249,466.704831
1.0,173,468.038481
2.0,204,469.615167
0.0,129,470.5522
5.0,331,473.174398
0.0,129,474.108904
0.0,129,475.074982
2.0,204,476.703999
9.0,401,479.967518
0.0,129,480.898402
3.0,234,482.753619
0.0,125,483.719321
1.0,173,485.074662
1.0,157,486.320076
1.0,174,487.706934
0.0,129,488.644062
0.0,129,489.612303
0.0,123,490.553503
4.0,299,492.902458
0.0,127,493.877918
1.0,173,495.272606
1.0,153,496.44598
0.0,129,497.413759
4.0,321,499.903466
2.0,203,501.455425
1.0,175,502.811345
1.0,173,504.165054
4.0,321,506.762099
0.0,125,507.693577
2.0,202,509.25985
3.0,272,511.361392
1.0,173,512.654659
3.0,270,514.777261
3.0,228,516.610308
0.0,129,517.61489
0.0,129,518.664685
1.0,155,519.878098
0.0,127,520.844997
4.0,297,523.263169
0.0,127,524.203286
1.0,173,525.552436
0.0,127,526.526638
0.0,127,527.513417
0.0,127,528.467683
1.0,173,529.822387
0.0,127,530.772419
1.0,173,532.071231
4.0,299,534.48126
0.0,125,535.411103
0.0,129,536.353933
0.0,129,537.295985
2.0,183,538.778374
0.0,127,539.746501
2.0,202,541.289274
2.0,200,542.852077
0.0,129,543.836138
0.0,127,544.799448
4.0,294,547.133523
3.0,251,549.090501
0.0,129,550.077222
2.0,220,551.773269
0.0,125,552.715834
1.0,173,554.084987
1.0,153,555.241328
0.0,127,556.18855
9.0,500,560.152119
1.0,155,561.379661
2.0,221,563.082074
3.0,273,565.259856
1.0,173,566.611515
1.0,173,567.951446
3.0,250,569.924165
0.0,125,570.891574
2.0,222,572.654803
0.0,127,573.616742
0.0,129,574.634895
2.0,223,576.388815
1.0,157,577.580001
1.0,157,578.783207
0.0,125,579.717803
1.0,175,581.09848
4.0,298,583.471128
0.0,129,584.438388
1.0,176,585.804898
8.0,371,588.777015
0.0,129,589.771102
1.0,155,590.993623
2.0,202,592.60934
1.0,155,593.835585
3.0,250,595.816159
0.0,129,596.803968
0.0,129,597.790742
