atten_decoder_loss,fps,reconstruct_loss,explained_variance,atten_encoder_loss,contrastive_loss,policy_loss,value_loss,policy_entropy,total_timesteps,nupdates,ep_reward_mean,ep_len_mean,total_timesteps_eval,explained_variance_eval,fps_eval,ep_reward_mean_eval,ep_len_mean_eval
0.18203695118427277,8,0.015460018999874592,-77.18424987792969,0.11317075043916702,1.693023681640625,-0.003582589328289032,0.0009520325693301857,1.38484787940979,20,1,,,,,,,
0.20074935257434845,186,0.016769859939813614,0.7145846784114838,0.1288452446460724,1.91477370262146,0.0002851273457054049,3.8667378248646855e-05,1.3841984272003174,2000,100,1.5,185.8,,,,,
0.17264863848686218,208,0.017361735925078392,-0.9606806039810181,0.1270928680896759,1.9698147773742676,-0.0026387751568108797,4.865924347541295e-05,1.3843891620635986,4000,200,1.2608695652173914,177.91304347826087,,,,,
0.18992170691490173,217,0.017552999779582024,-1.7109158039093018,0.12946607172489166,2.0008544921875,0.0038814605213701725,0.0003092066035605967,1.3847332000732422,6000,300,2.0689655172413794,207.55172413793105,,,,,
0.19151851534843445,221,0.016891662031412125,-4.97927713394165,0.12569120526313782,1.8913007974624634,-0.007108245976269245,0.00012057718413416296,1.384670615196228,8000,400,1.6511627906976745,191.86046511627907,,,,,
0.22616437077522278,223,0.017333658412098885,-0.2383565902709961,0.12627580761909485,1.9402856826782227,-0.023310283198952675,0.0010575712658464909,1.385231375694275,10000,500,1.5818181818181818,190.0909090909091,,,,,
0.1759183704853058,226,0.017320912331342697,0.11327409744262695,0.12334122508764267,1.9445078372955322,-0.005761695094406605,3.758415186894126e-05,1.3847484588623047,12000,600,1.5606060606060606,190.66666666666666,,,,,
0.24302837252616882,227,0.01661454513669014,0.3715224266052246,0.12172245979309082,1.956383228302002,-0.008652766235172749,0.0002596731064841151,1.385953664779663,14000,700,1.4683544303797469,186.59493670886076,,,,,
0.2708342969417572,228,0.017556099221110344,0.015751540660858154,0.1233864277601242,1.9690477848052979,0.26991331577301025,0.19276806712150574,1.3856585025787354,16000,800,1.391304347826087,183.7608695652174,,,,,
0.14822733402252197,228,0.017107810825109482,0.09392797946929932,0.11924974620342255,1.9515026807785034,-0.013979986310005188,0.0003105597570538521,1.385279893875122,18000,900,1.3,179.78,,,,,
