#{"t_start": 1610356255.9343185, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,437.889522
0.0,129,438.83965
0.0,129,439.831443
2.0,184,441.27668
1.0,178,442.644258
0.0,127,443.609676
0.0,129,444.569082
3.0,268,446.677518
1.0,171,447.991248
2.0,190,449.486414
0.0,129,450.433667
2.0,200,452.039347
0.0,127,453.017508
0.0,127,453.981158
12.0,461,457.658641
0.0,129,458.669102
1.0,175,460.062256
2.0,222,461.851824
0.0,129,462.828114
1.0,153,463.981859
2.0,200,465.5858
0.0,129,466.560967
1.0,170,467.889153
2.0,200,469.389971
0.0,127,470.326299
2.0,203,471.882095
4.0,300,474.286355
0.0,125,475.248251
2.0,225,476.998801
0.0,129,477.958979
0.0,129,478.941541
1.0,153,480.082653
0.0,127,481.032268
2.0,198,482.599016
0.0,127,483.599851
1.0,176,484.959639
0.0,129,485.989108
3.0,209,487.596165
1.0,176,488.970886
0.0,127,489.956789
1.0,155,491.099756
1.0,173,492.421062
0.0,127,493.415425
1.0,169,494.766892
2.0,202,496.322186
4.0,299,498.634084
9.0,366,501.575089
2.0,200,503.142798
0.0,129,504.120424
1.0,178,505.478405
3.0,270,507.638161
0.0,127,508.604641
2.0,204,510.137179
4.0,321,512.629269
0.0,127,513.57809
4.0,299,516.029144
1.0,155,517.293248
0.0,127,518.29078
0.0,129,519.28539
1.0,175,520.649405
0.0,129,521.63258
2.0,224,523.422815
0.0,129,524.369574
9.0,389,527.613517
1.0,156,528.800458
0.0,127,529.748742
1.0,176,531.06889
0.0,129,532.089687
1.0,153,533.231863
0.0,129,534.195215
4.0,301,536.593773
2.0,202,538.195721
0.0,129,539.193179
1.0,174,540.494551
0.0,127,541.448558
1.0,175,542.803357
0.0,125,543.75081
0.0,127,544.687765
4.0,299,547.082324
1.0,177,548.468067
1.0,175,549.802534
1.0,176,551.134989
1.0,155,552.335562
0.0,127,553.307688
3.0,250,555.279128
2.0,222,556.970282
4.0,294,559.260174
0.0,125,560.221649
4.0,263,562.295334
1.0,175,563.597121
0.0,127,564.582311
0.0,129,565.55283
0.0,125,566.507968
2.0,224,568.255812
0.0,127,569.246978
0.0,123,570.176629
2.0,188,571.622005
0.0,127,572.579488
1.0,178,574.029002
0.0,127,574.972872
0.0,129,575.928077
1.0,155,577.097155
3.0,237,579.007193
2.0,185,580.45022
0.0,129,581.425663
3.0,250,583.388487
0.0,125,584.326437
0.0,127,585.274717
1.0,174,586.615294
2.0,221,588.354717
0.0,129,589.353588
0.0,127,590.349571
0.0,129,591.324203
0.0,127,592.28013
0.0,127,593.252469
1.0,157,594.466564
1.0,175,595.819661
1.0,153,597.021344
1.0,172,598.355961
1.0,171,599.690744
2.0,224,601.483135
0.0,125,602.434637
2.0,202,604.005337
2.0,222,605.73957
0.0,127,606.724514
0.0,125,607.688744
2.0,205,609.347659
3.0,246,611.311897
0.0,127,612.261081
0.0,129,613.205927
0.0,129,614.163735
0.0,127,615.103189
0.0,129,616.056385
1.0,174,617.377542
1.0,157,618.570065
3.0,254,620.55631
0.0,127,621.489025
3.0,252,623.519579
0.0,129,624.469683
3.0,249,626.411351
0.0,127,627.347142
4.0,302,629.744174
1.0,176,631.113724
0.0,127,632.07249
6.0,254,634.066084
1.0,157,635.292672
0.0,127,636.268058
0.0,129,637.221856
0.0,127,638.148023
4.0,262,640.243556
0.0,129,641.255534
2.0,218,642.930984
1.0,173,6447.0,323,653.603592
1.0,178,63.0,250,1073.386748
2.0,200,1074.977983
0.0,125,1075.943251
2.0,220,1077.709605
0.0,129,1078.669101
7.0,464,1082.41662
1.0,155,1083.624443
4.0,299,1086.033964
1.0,172,1087.346199
0.0,129,1088.303779
1.0,173,1089.642853
1.0,155,1090.820061
0.0,129,1091.797669
2.0,202,1093.369086
0.0,129,1094.316937
3.0,250,1096.31031
0.0,125,1097.248948
0.0,129,1098.172049
2.0,198,1099.717037
0.0,129,1100.66763
3.0,248,1102.618695
0.0,127,1103.620516
0.0,129,1104.585344
0.0,125,1105.502229
4.0,299,1107.875363
0.0,129,1108.855573
0.0,127,1109.803185
0.0,127,1110.803383
1.0,171,1112.09894
1.0,171,1113.434618
3.0,248,1115.399342
0.0,127,1116.337543
