#{"t_start": 1610715427.9451375, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,447.354718
0.0,125,452.741487
3.0,250,463.498512
1.0,173,937.871736
0.0,127,942.824243
1.0,155,948.578665
0.0,127,953.440944
2.0,220,962.214056
1.0,155,1424.418285
3.0,270,1435.091175
0.0,129,1440.042177
3.0,232,1907.4512
2.0,220,1916.227303
3.0,250,1926.921242
1.0,178,2383.667821
2.0,202,2392.036242
1.0,176,2399.533279
0.0,125,2404.501911
2.0,224,2872.257209
0.0,125,2877.486673
0.0,129,2882.270978
0.0,125,2887.348944
2.0,185,2894.360363
3.0,245,3361.113852
1.0,153,3367.57934
3.0,268,3379.146331
0.0,125,3828.441666
0.0,125,3832.617314
1.0,158,3839.171345
0.0,125,3843.784018
5.0,294,4271.350167
2.0,206,4280.047561
0.0,127,4284.963332
0.0,129,4289.91365
0.0,127,4766.582612
0.0,129,4771.482013
1.0,153,4778.062274
4.0,283,4790.298751
1.0,173,5251.681779
3.0,248,5261.672239
1.0,155,5267.448724
0.0,127,5272.239538
1.0,173,5705.647009
1.0,173,5712.854617
1.0,173,5719.529747
0.0,127,5724.536366
0.0,129,6159.982134
4.0,265,6170.659734
1.0,178,6177.782518
0.0,129,6182.71136
6.0,380,6659.942085
2.0,189,6667.929552
0.0,129,6673.060418
0.0,127,7128.87714
9.0,404,7145.803058
0.0,129,7150.40299
2.0,198,7576.929168
0.0,127,7582.667172
0.0,127,7588.186594
2.0,198,7596.595004
0.0,129,8042.520545
0.0,127,8047.854309
9.0,404,8064.244819
5.0,328,8520.564402
0.0,129,8526.221049
5.0,350,8996.391093
4.0,301,9008.560962
2.0,202,9016.907605
5.0,350,9471.052283
0.0,129,9476.540834
0.0,127,9481.720456
0.0,129,9486.391206
2.0,200,9940.00773
0.0,129,9945.108363
2.0,200,9953.217243
0.0,129,9958.167083
0.0,127,10420.13397
0.0,129,10425.530388
2.0,198,10434.089539
0.0,127,10439.432374
0.0,127,10444.565433
2.0,198,10947.234949
3.0,248,10958.328429
0.0,129,10963.752728
2.0,200,11416.943974
5.0,345,11431.436281
0.0,127,11436.714578
0.0,125,11441.535261
6.0,378,11899.613234
2.0,202,11909.456242
0.0,129,12413.787774
0.0,129,12419.380713
0.0,123,12425.007585
1.0,172,12432.3836
0.0,129,12437.760759
9.0,404,12901.867409
2.0,202,12911.02223
2.0,200,13387.360362
2.0,198,13396.133344
5.0,350,13411.892082
5.0,350,13884.780235
0.0,129,13890.628717
5.0,352,14347.426235
0.0,127,14352.752927
5.0,350,14369.046345
10.0,432,14835.368122
0.0,125,14839.827223
3.0,248,15263.555088
2.0,200,15271.739395
0.0,127,15276.784613
2.0,198,15284.817883
9.0,404,15717.224088
0.0,125,15721.893994
0.0,127,15726.301127
4.0,299,16138.080961
0.0,129,16142.822501
0.0,125,16147.215297
10.0,451,16591.589857
5.0,352,16606.785908
3.0,246,17043.188549
5.0,329,17055.859296
0.0,129,17060.949999
4.0,297,17536.542073
2.0,202,17545.064695
0.0,125,17549.920305
6.0,380,18009.265601
0.0,127,18013.784629
6.0,378,18466.146272
2.0,202,18473.056781
0.0,129,18477.810833
3.0,249,18898.339675
1.0,170,18904.753697
0.0,125,18909.719958
2.0,200,18917.626255
13.0,457,19361.468785
3.0,248,19371.381274
2.0,202,19808.341669
2.0,202,19816.70854
0.0,127,19820.490195
2.0,200,19828.723122
5.0,352,20262.38306
6.0,377,20696.615107
0.0,129,20701.329415
0.0,127,20706.109409
2.0,202,20713.949386
5.0,350,21162.681602
6.0,401,21178.228777
2.0,200,21623.477219
0.0,129,21628.628084
9.0,380,21643.565073
3.0,248,22065.663176
2.0,202,22073.557304
1.0,177,22080.556247
5.0,350,22488.476108
2.0,200,22495.442406
8.0,481,22948.324793
9.0,404,23398.408186
3.0,248,23407.65445
0.0,127,23412.855263
0.0,127,23417.712427
1.0,176,23855.163326
1.0,175,23862.066922
0.0,127,23866.598199
1.0,176,23873.118284
4.0,278,24312.781498
1.0,153,24318.040533
1.0,157,24324.396832
0.0,127,24328.441192
1.0,155,24750.807464
0.0,129,24756.014075
3.0,246,24766.354552
1.0,155,24772.190798
2.0,200,25229.807264
4.0,297,25241.502841
0.0,123,25245.908791
0.0,127,25250.572313
0.0,127,25683.461906
0.0,129,25687.363516
0.0,129,25692.355294
0.0,129,25697.223147
1.0,153,25702.887342
3.0,230,26095.780872
3.0,248,26104.379681
5.0,350,26520.962294
4.0,300,26532.390653
3.0,228,26980.077553
0.0,125,26985.070618
2.0,200,26993.009685
0.0,127,26997.820562
0.0,127,27002.875273
5.0,350,27450.069418
2.0,198,27457.167389
0.0,127,27461.737887
4.0,297,27905.839223
10.0,431,27922.800109
2.0,204,28359.841817
5.0,350,28373.600328
4.0,319,28795.385332
0.0,125,28799.828749
1.0,155,28806.513093
5.0,350,29283.238165
1.0,155,29289.481061
1.0,157,29295.747344
0.0,127,29300.71508
2.0,203,29742.5959
1.0,172,29748.865094
5.0,350,29761.87241
2.0,202,30185.904963
3.0,232,30195.069514
3.0,252,30634.333785
1.0,157,30640.873739
0.0,127,30645.450569
2.0,200,30652.74088
4.0,299,31108.067781
9.0,404,31125.810117
0.0,127,31130.591154
5.0,350,31544.931035
1.0,178,31551.731896
2.0,202,31950.678425
9.0,404,31965.840559
2.0,206,32375.314718
5.0,350,32389.148343
1.0,178,32395.902162
5.0,350,32788.180748
1.0,176,32795.003107
5.0,350,33249.294382
5.0,305,33261.786472
4.0,299,33673.247971
2.0,198,33680.092311
9.0,404,33695.925143
2.0,202,34071.193618
3.0,252,34080.140599
0.0,127,34084.849432
10.0,431,34494.29004
5.0,350,34911.234429
5.0,350,34926.30697
2.0,201,34934.354691
3.0,236,35350.995984
3.0,230,35359.56799
3.0,230,35368.304824
5.0,350,35780.064681
2.0,187,35786.310854
5.0,350,36176.889499
3.0,215,36184.890172
4.0,243,36193.984656
2.0,223,36586.062724
3.0,226,36593.972979
9.0,404,37015.326214
5.0,350,37030.345567
3.0,257,37448.805013
2.0,202,37455.999977
5.0,350,37857.625336
3.0,251,37866.311267
3.0,228,37874.146556
5.0,295,38266.866049
4.0,285,38277.320773
1.0,176,38284.233377
1.0,157,38662.388253
6.0,345,38675.355906
3.0,248,39103.387915
5.0,305,39115.116223
5.0,346,39519.88488
9.0,380,39534.052258
2.0,203,39541.282225
5.0,347,39934.748
4.0,261,39944.046683
1.0,158,40338.225147
10.0,454,40355.329957
0.0,129,40359.703309
4.0,276,40737.968336
4.0,281,40747.659329
6.0,395,41150.832468
11.0,488,41549.706215
5.0,322,41560.908912
0.0,125,41565.291988
0.0,129,41938.920929
5.0,347,41950.71676
5.0,350,42334.498726
3.0,233,42342.485272
3.0,237,42350.798772
14.0,572,42738.370434
5.0,312,43140.326024
0.0,129,43144.535583
6.0,340,43157.015999
5.0,326,43545.680304
11.0,499,43941.800465
9.0,404,43957.115451
2.0,190,44338.472719
8.0,494,44356.967425
5.0,350,44743.697352
5.0,307,44755.343545
1.0,155,45144.779779
2.0,185,45151.355539
5.0,350,45164.594478
1.0,176,45545.182851
4.0,298,45556.892995
4.0,301,45946.004748
0.0,129,45950.531034
3.0,235,45959.749515
6.0,397,46351.969239
6.0,339,46364.289564
10.0,431,46754.214181
1.0,157,46759.916109
11.0,501,47161.50497
1.0,171,47167.46152
3.0,232,47176.181339
3.0,250,47560.803302
4.0,284,47571.429949
4.0,299,47957.577322
5.0,350,47969.952039
4.0,247,48354.782036
6.0,341,48367.465438
5.0,307,48750.73183
5.0,309,48762.184068
4.0,249,49143.099018
2.0,183,49148.77442
9.0,398,49162.28126
0.0,127,49553.997112
3.0,250,49563.366066
11.0,502,49947.44772
5.0,350,49960.175479
6.0,374,50355.438341
12.0,442,50771.486192
5.0,296,50782.553756
3.0,232,50790.808416
20.0,458,51176.14084
12.0,608,51584.480064
4.0,302,51595.413868
5.0,276,51963.860461
4.0,247,51973.428391
4.0,280,52360.887243
10.0,502,52379.781903
6.0,398,52765.477714
10.0,368,53149.664119
3.0,220,53157.679986
5.0,303,53168.442452
8.0,427,53565.161888
7.0,425,53936.300036
1.0,155,53941.535387
5.0,294,53951.959603
