#{"t_start": 1610715431.4050992, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,442.494643
2.0,222,452.27325
1.0,169,459.355908
3.0,232,936.440007
1.0,171,943.162642
2.0,217,951.722847
0.0,127,956.503632
1.0,173,1419.337945
1.0,174,1425.906615
0.0,127,1430.876937
3.0,269,1441.745713
0.0,127,1904.760654
5.0,350,1919.471965
0.0,129,1924.500793
4.0,301,2386.692018
1.0,173,2393.902566
0.0,129,2399.313702
2.0,184,2865.596704
2.0,187,2873.244517
1.0,173,2879.978225
0.0,129,2885.309683
0.0,125,2889.807132
2.0,202,3354.36523
0.0,129,3359.53156
0.0,125,3364.74849
1.0,173,3371.895796
2.0,183,3824.006106
6.0,372,3839.108726
0.0,127,3844.23958
2.0,201,4267.263227
2.0,186,4275.049268
0.0,125,4280.198219
0.0,127,4284.980867
2.0,200,4764.710784
0.0,129,4769.954628
0.0,127,4775.052874
4.0,299,4788.162897
4.0,297,5254.763219
4.0,295,5266.44589
0.0,125,5697.53865
0.0,129,5702.709901
1.0,171,5709.784745
2.0,200,5717.802556
0.0,125,5722.746229
4.0,277,6164.461983
3.0,252,6174.654989
2.0,199,6643.484879
0.0,129,6648.737541
1.0,170,6655.480013
2.0,202,6664.141694
0.0,127,6669.168263
2.0,200,7128.244436
0.0,127,7132.521563
5.0,350,7147.464772
1.0,153,7571.780634
0.0,125,7577.22128
2.0,202,7586.33746
0.0,125,7591.443088
0.0,125,7596.68015
0.0,127,8042.673935
4.0,299,8054.910073
9.0,403,8514.141801
2.0,200,8522.852188
0.0,127,8527.840141
2.0,198,8991.27075
5.0,352,9005.812449
0.0,129,9010.976687
0.0,129,9015.462469
0.0,127,9460.232443
0.0,127,9465.21597
0.0,123,9470.305063
0.0,129,9475.422454
1.0,173,9482.329854
0.0,127,9932.645117
0.0,127,9937.649908
2.0,202,9945.916351
2.0,200,9953.999937
5.0,350,10426.460845
1.0,173,10433.789459
0.0,127,10439.077967
4.0,299,10946.348911
8.0,375,10963.477969
4.0,299,11420.616909
5.0,350,11435.714907
0.0,129,11880.652328
2.0,218,11891.362107
5.0,352,11908.781289
0.0,125,12412.485709
3.0,270,12425.17987
3.0,248,12436.566912
0.0,129,12887.492896
5.0,350,12903.215714
0.0,125,12908.862713
4.0,299,13389.626747
0.0,129,13395.272798
0.0,125,13399.952005
3.0,248,13411.147135
0.0,127,13873.917488
2.0,202,13882.70883
0.0,127,13888.549811
2.0,198,13896.715718
3.0,270,14349.986651
0.0,129,14355.705608
2.0,202,14364.823716
2.0,200,14820.870349
0.0,125,14825.811659
0.0,129,14830.939415
5.0,350,15258.633401
0.0,129,15263.631541
0.0,129,15268.797421
2.0,200,15276.788801
0.0,127,15282.008934
0.0,127,15703.401125
1.0,173,15709.575652
2.0,202,15717.160113
2.0,200,15724.693121
4.0,297,16136.538559
1.0,153,16141.901031
9.0,404,16583.881188
7.0,450,16603.626987
0.0,125,17035.242
2.0,202,17042.462187
2.0,202,17050.233117
9.0,404,17530.569719
4.0,301,17543.474393
0.0,125,17548.131167
1.0,158,17997.537442
2.0,198,18005.837538
9.0,404,18459.161953
0.0,129,18463.781005
0.0,127,18468.105519
0.0,129,18472.451572
0.0,127,18476.948883
5.0,352,18901.904954
0.0,127,18906.864059
8.0,375,19347.025873
0.0,125,19351.79919
10.0,431,19369.593847
0.0,129,19803.702177
0.0,127,19808.379087
0.0,123,19813.328383
0.0,129,19817.233047
1.0,173,19824.281332
3.0,228,20253.609961
0.0,129,20257.825353
0.0,125,20261.920062
5.0,350,20695.249365
9.0,403,20711.510679
0.0,129,20716.412058
0.0,129,21156.227757
9.0,404,21171.518729
9.0,404,21625.651428
0.0,129,21630.117428
1.0,169,21636.738976
2.0,201,22056.753791
0.0,125,22061.389844
0.0,127,22066.104708
0.0,129,22070.914334
2.0,198,22078.799135
3.0,271,22483.670604
3.0,248,22492.303978
9.0,403,22942.160695
1.0,173,22948.419242
4.0,297,23394.218316
0.0,129,23398.977311
4.0,318,23411.645916
3.0,248,23852.212105
0.0,125,23857.063699
0.0,125,23861.622067
0.0,127,23865.938106
0.0,127,23870.739305
0.0,125,24303.757326
2.0,200,24311.526285
0.0,125,24315.951315
2.0,200,24323.775732
0.0,127,24327.913495
2.0,202,24752.860029
5.0,350,24767.335625
3.0,232,25226.430389
0.0,127,25231.07191
10.0,454,25677.219349
0.0,127,25681.718784
2.0,202,25689.185093
9.0,404,26089.618471
1.0,173,26095.347186
6.0,382,26513.021281
0.0,127,26517.393312
2.0,205,26525.298228
1.0,177,26531.381607
1.0,155,26536.950764
0.0,129,26981.450966
4.0,299,26993.638849
0.0,127,26998.700451
3.0,230,27440.668599
5.0,350,27454.25381
3.0,248,27895.8763
2.0,198,27903.833502
0.0,129,27908.581352
2.0,202,27916.245404
0.0,125,28349.330144
9.0,404,28366.317414
5.0,350,28789.316947
4.0,276,28799.893483
0.0,127,28805.41833
0.0,127,28809.782146
2.0,200,29280.352798
0.0,123,29285.13387
2.0,183,29292.661069
5.0,350,29741.174055
1.0,173,29747.121318
0.0,129,29751.669627
2.0,202,29758.83149
5.0,350,30188.776724
8.0,375,30633.657274
3.0,246,30643.611316
4.0,297,30654.69716
0.0,127,31102.840118
5.0,350,31118.099442
6.0,400,31535.525817
0.0,125,31539.985884
5.0,350,31553.632294
3.0,250,31954.223734
2.0,200,31961.20041
0.0,129,31966.034058
1.0,155,32373.498945
2.0,202,32381.097046
0.0,127,32385.832411
0.0,129,32390.609735
0.0,125,32395.318154
9.0,404,32789.780054
2.0,202,32797.6422
0.0,127,33242.52402
1.0,155,33248.716072
5.0,348,33262.454676
5.0,350,33675.627078
1.0,178,33682.412218
0.0,125,33686.934956
1.0,172,34060.507016
1.0,157,34066.630816
2.0,223,34074.343941
3.0,250,34083.83779
2.0,202,34483.704104
2.0,189,34491.311219
5.0,313,34906.594076
1.0,176,34913.917015
8.0,471,34933.781176
3.0,230,35350.501494
0.0,125,35354.553235
4.0,299,35365.823904
10.0,434,35780.438068
5.0,350,36171.252582
2.0,204,36178.36243
1.0,155,36184.287803
5.0,350,36581.249413
5.0,350,36593.457217
0.0,129,36597.243081
3.0,254,37014.313409
2.0,186,37022.153337
10.0,454,37448.536535
5.0,350,37461.844936
1.0,155,37855.660228
6.0,399,37869.829792
0.0,127,37873.968795
4.0,267,38266.033307
2.0,220,38273.690476
4.0,279,38657.184212
3.0,246,38666.584475
10.0,433,39101.597095
1.0,157,39107.642603
4.0,279,39118.374151
10.0,447,39526.286666
8.0,448,39923.865142
6.0,382,39937.580814
5.0,350,40339.406724
5.0,346,40352.242718
3.0,216,40728.582279
2.0,188,40734.924932
0.0,125,40738.847762
6.0,340,41139.094086
2.0,200,41146.768185
2.0,187,41153.094294
9.0,404,41549.331082
6.0,371,41562.366556
0.0,127,41935.845349
2.0,183,41941.981577
1.0,157,41946.778121
3.0,212,41953.724937
2.0,205,42332.532575
4.0,297,42342.827076
1.0,155,42348.217651
1.0,155,42720.69475
5.0,350,42732.868246
4.0,301,43134.559993
5.0,345,43146.978708
6.0,375,43537.665339
2.0,182,43543.520029
5.0,317,43554.514287
3.0,230,43941.217993
5.0,350,43954.35385
2.0,203,44336.33006
3.0,239,44344.910782
1.0,157,44350.587533
1.0,155,44355.919006
1.0,155,44734.793517
1.0,171,44741.085964
3.0,228,44749.707692
9.0,404,45148.735567
3.0,230,45157.625681
4.0,279,45541.933984
4.0,265,45552.289299
5.0,350,45943.400538
0.0,127,45947.828174
1.0,176,45954.645566
10.0,450,46348.971024
5.0,297,46359.759798
7.0,447,46750.154398
5.0,350,46763.535648
5.0,311,47157.700743
2.0,198,47164.960604
5.0,326,47553.071074
3.0,234,47561.225374
11.0,472,47954.055818
4.0,296,47964.622802
