#{"t_start": 1610715423.6407814, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,450.327906
2.0,221,460.073581
4.0,301,473.561973
2.0,202,948.615352
2.0,222,957.316026
3.0,271,1424.43026
1.0,155,1430.457325
1.0,173,1437.079769
0.0,129,1441.715632
0.0,127,1446.691932
0.0,127,1909.493336
0.0,127,1914.745587
3.0,248,1924.690441
5.0,347,2389.166025
1.0,171,2396.044646
1.0,153,2402.371819
0.0,129,2407.73503
0.0,127,2412.674303
1.0,175,2878.485291
1.0,155,2884.57857
2.0,223,2893.984255
1.0,175,3356.90602
1.0,173,3364.032194
0.0,125,3369.145902
1.0,157,3375.640416
0.0,129,3380.781391
2.0,202,3833.724671
0.0,127,3838.017167
1.0,153,3844.566178
2.0,198,3852.551876
0.0,125,4272.102572
0.0,123,4277.23354
1.0,173,4284.310797
2.0,205,4292.633516
0.0,127,4297.276988
1.0,175,4776.262655
1.0,177,4783.685309
3.0,251,4794.656083
1.0,173,5256.027671
3.0,232,5265.356917
0.0,125,5269.898427
0.0,125,5274.532155
1.0,173,5707.769276
2.0,201,5716.211274
1.0,159,5722.241663
0.0,125,5727.337504
2.0,183,6165.148971
6.0,399,6181.569626
2.0,220,6651.437963
0.0,129,6656.709448
4.0,299,6669.398762
5.0,332,7134.548091
3.0,250,7144.521402
10.0,454,7582.014727
0.0,129,7587.803193
0.0,127,7593.27739
0.0,125,7598.284086
1.0,171,8046.198674
0.0,129,8051.695857
0.0,127,8056.143874
2.0,200,8064.691273
5.0,350,8521.435334
0.0,125,8526.328671
0.0,127,8531.875438
5.0,350,9001.985857
0.0,127,9007.198465
0.0,123,9011.55018
5.0,329,9024.474523
3.0,248,9474.869636
0.0,127,9480.253087
1.0,173,9487.534214
0.0,127,9492.042569
2.0,202,9945.71251
0.0,123,9950.552744
0.0,129,9955.545237
0.0,127,9960.521338
0.0,129,10422.553514
0.0,129,10427.893726
0.0,127,10433.193282
3.0,248,10444.051524
0.0,127,10449.201799
3.0,248,10954.200092
0.0,129,10959.465318
0.0,129,10965.058845
0.0,127,10970.471873
0.0,129,11420.261875
4.0,297,11432.646849
3.0,271,11444.157382
0.0,127,11889.372716
2.0,202,11899.081277
0.0,129,11904.828998
2.0,202,11914.565491
2.0,202,12422.330675
0.0,127,12428.151375
9.0,380,12445.684298
5.0,329,12905.934465
0.0,127,12911.320459
0.0,129,12917.190402
0.0,127,12922.602108
4.0,278,13402.495768
5.0,350,13418.070074
5.0,350,13891.241391
3.0,246,13902.390387
0.0,123,14348.506004
0.0,129,14353.883612
0.0,125,14359.140634
0.0,127,14364.825576
0.0,127,14370.378881
4.0,299,14831.063176
2.0,198,14839.080206
0.0,129,14843.648297
2.0,202,14851.665692
9.0,404,15282.456904
0.0,125,15287.393936
0.0,129,15292.72138
0.0,129,15713.805368
0.0,127,15718.233677
5.0,340,15731.209826
0.0,129,16136.223505
5.0,350,16149.60552
0.0,125,16154.321188
3.0,248,16589.605622
2.0,198,16597.98227
0.0,127,16603.113267
2.0,198,16611.345058
0.0,129,17043.167973
4.0,297,17054.582465
6.0,379,17533.39398
7.0,433,17552.021033
2.0,202,18003.085402
3.0,248,18013.638811
2.0,202,18021.477524
2.0,202,18466.304582
0.0,129,18470.991235
0.0,127,18475.365083
0.0,127,18479.597077
0.0,129,18484.107963
5.0,350,18908.943312
5.0,350,18923.497947
2.0,202,19356.409482
0.0,127,19361.023698
5.0,350,19375.539969
5.0,350,19818.989225
0.0,127,19823.291139
5.0,350,20258.003697
0.0,125,20262.423334
0.0,127,20266.391073
0.0,127,20270.61444
9.0,401,20706.261993
0.0,129,20711.080117
6.0,380,21161.575855
0.0,127,21165.926964
0.0,127,21170.363309
9.0,404,21623.996425
3.0,248,21633.761405
1.0,155,21639.363382
4.0,297,22063.571171
0.0,127,22068.293165
0.0,127,22072.984315
0.0,127,22077.590905
0.0,127,22082.582837
0.0,127,22482.925543
0.0,125,22486.829565
0.0,127,22490.728123
0.0,127,22495.124678
3.0,271,22504.76804
0.0,129,22944.047552
10.0,429,22960.287763
1.0,157,23400.319468
9.0,404,23416.746035
0.0,127,23421.543934
3.0,248,23861.905546
0.0,125,23866.915138
1.0,174,23873.004046
3.0,230,24310.448174
0.0,129,24315.457381
2.0,202,24322.927803
0.0,129,24327.905526
5.0,350,24758.225278
0.0,125,24763.162954
0.0,127,24767.97738
5.0,329,25230.796674
11.0,485,25250.639106
0.0,129,25683.224693
0.0,129,25688.301348
1.0,176,25694.302272
2.0,203,25702.202263
2.0,202,26094.50181
1.0,173,26100.604349
1.0,157,26105.487467
0.0,129,26110.10255
0.0,129,26114.810086
1.0,173,26524.259859
2.0,200,26531.824023
1.0,174,26537.944335
5.0,350,26991.328824
0.0,127,26996.062701
0.0,129,27001.012734
0.0,129,27006.221494
1.0,155,27445.553808
0.0,127,27449.77263
0.0,125,27454.586046
4.0,275,27464.88158
4.0,297,27908.858053
0.0,129,27913.543891
1.0,155,27919.426673
0.0,125,27923.894264
2.0,202,28360.742161
0.0,127,28365.406919
2.0,200,28373.223783
0.0,129,28377.705286
3.0,268,28797.68796
0.0,127,28801.952835
1.0,157,28808.147696
1.0,155,28814.54146
4.0,297,29289.085638
1.0,155,29295.421587
1.0,155,29301.536241
0.0,127,29306.544229
4.0,297,29752.107656
0.0,129,29756.534008
0.0,127,29761.093497
3.0,248,30186.491844
2.0,200,30194.165909
0.0,127,30198.853366
4.0,297,30640.147296
0.0,127,30645.36488
0.0,127,30649.957476
3.0,228,30658.448394
2.0,198,31109.281198
2.0,187,31116.849778
0.0,127,31122.173505
5.0,350,31538.31488
1.0,173,31544.448941
0.0,127,31548.845866
5.0,350,31953.840972
5.0,350,31966.679211
1.0,159,31972.729951
2.0,200,32382.055829
0.0,129,32386.559331
2.0,202,32394.521495
9.0,404,32788.498684
0.0,129,32793.580972
0.0,129,32798.515087
0.0,129,32803.300201
0.0,127,32808.219239
1.0,157,33254.245507
2.0,187,33261.538731
3.0,234,33270.673129
4.0,297,33681.877558
0.0,129,33686.597897
2.0,205,33694.285458
0.0,127,33698.585697
5.0,350,34079.377494
1.0,177,34085.901551
0.0,129,34090.444474
0.0,129,34487.793451
0.0,129,34491.970232
5.0,350,34506.144163
2.0,202,34917.237482
0.0,129,34922.373281
1.0,155,34928.674723
9.0,404,35352.779118
9.0,404,35368.43793
2.0,183,35773.473526
3.0,235,35782.445435
10.0,431,36175.606198
1.0,155,36181.132827
3.0,248,36190.463201
1.0,157,36196.052855
4.0,299,36591.37918
0.0,129,36595.54559
0.0,129,36599.623499
3.0,226,37013.400523
1.0,159,37019.933524
3.0,230,37029.634115
1.0,176,37036.778921
5.0,350,37458.141293
0.0,127,37463.362076
3.0,248,37472.30542
2.0,184,37866.923661
0.0,127,37870.990734
2.0,206,37877.985461
5.0,352,38273.178719
8.0,309,38284.819353
1.0,176,38663.764861
3.0,253,38673.358505
4.0,297,38684.210785
4.0,264,39113.169977
9.0,425,39129.641125
2.0,188,39528.17134
9.0,404,39543.216276
0.0,129,39547.543094
1.0,155,39933.49166
4.0,283,39943.203472
5.0,331,40344.354865
2.0,226,40352.650213
8.0,282,40362.9893
1.0,155,40736.91328
6.0,360,40749.429907
0.0,127,40753.573088
9.0,380,41156.321134
2.0,198,41163.105584
1.0,155,41168.809216
4.0,265,41559.19554
3.0,216,41566.234258
3.0,233,41943.965492
5.0,350,41955.803268
3.0,222,41963.013453
3.0,223,42342.322057
1.0,153,42347.772372
3.0,239,42356.005196
7.0,375,42736.466461
10.0,453,43143.534078
7.0,376,43157.041473
10.0,449,43550.405102
1.0,154,43555.176425
4.0,256,43942.642271
4.0,279,43952.473337
10.0,431,44343.830859
4.0,297,44354.794233
4.0,284,44365.15446
10.0,433,44755.10299
5.0,326,45151.482821
1.0,153,45156.773227
5.0,346,45169.88772
2.0,203,45551.626643
7.0,374,45565.936913
0.0,129,45570.399282
2.0,200,45955.835601
1.0,174,45962.621783
0.0,127,45967.043232
2.0,223,46352.489976
6.0,393,46366.965939
6.0,363,46753.913955
0.0,129,46758.69777
5.0,350,46771.955673
5.0,309,47166.03175
2.0,224,47174.546044
4.0,265,47559.958731
3.0,248,47568.782446
3.0,214,47576.394742
0.0,127,47956.750697
1.0,157,47961.577206
1.0,153,47967.298183
1.0,177,47972.768257
3.0,228,48356.698096
11.0,476,48374.757423
4.0,276,48756.74924
1.0,155,48761.826011
1.0,155,48767.561954
5.0,300,49150.32643
5.0,350,49162.176
4.0,249,49557.762986
3.0,251,49567.20382
5.0,350,49579.990861
6.0,370,49959.090573
5.0,350,50352.892725
3.0,252,50362.248819
7.0,383,50776.127286
4.0,279,50786.556707
3.0,247,50795.443761
2.0,204,51170.516518
3.0,239,51179.439227
6.0,372,51579.044971
6.0,349,51591.560979
4.0,245,51600.549271
7.0,407,51974.456429
4.0,304,52363.048805
10.0,449,52379.859659
9.0,404,52765.996433
5.0,311,52777.754453
6.0,356,53161.017516
2.0,205,53168.236274
8.0,435,53564.847495
1.0,157,53570.436392
3.0,250,53934.853662
5.0,316,53946.482196
2.0,222,53954.130203
6.0,333,54348.497368
10.0,453,54736.315531
7.0,384,54750.591926
12.0,324,55125.294407
8.0,440,55141.614529
7.0,418,55538.280419
10.0,395,55915.257779
11.0,477,55932.363963
6.0,376,56331.071087
3.0,255,56340.398879
8.0,463,56723.333147
11.0,480,57112.077806
10.0,516,57508.959336
3.0,253,57517.075875
11.0,472,57896.096586
7.0,425,57911.994601
9.0,526,58311.661177
8.0,433,58688.03109
8.0,447,58705.266143
6.0,338,59098.200273
4.0,262,59108.07121
16.0,466,59496.496709
3.0,214,59504.317377
10.0,454,59887.193377
7.0,250,60277.022513
4.0,264,60287.002566
1.0,177,60293.140543
6.0,323,60663.09613
18.0,629,61067.931002
5.0,324,61080.684431
10.0,451,61470.451518
5.0,353,61482.754566
6.0,342,61860.820823
12.0,302,61871.706739
2.0,206,62261.617558
5.0,303,62272.477223
11.0,472,62646.293822
7.0,384,62660.530452
12.0,502,63059.735382
7.0,374,63441.998426
19.0,677,63832.372469
10.0,432,64231.059995
1.0,159,64237.168203
11.0,511,64609.740663
10.0,364,64622.779263
1.0,174,64629.217784
5.0,303,65018.768975
17.0,477,65400.940305
4.0,308,65411.985613
7.0,405,65794.932225
7.0,445,65811.171635
4.0,319,66205.63178
7.0,383,66218.594573
8.0,396,66596.041293
9.0,512,66980.922249
7.0,407,67359.789428
8.0,465,67376.185563
10.0,380,67740.547392
4.0,260,67749.373342
9.0,489,68156.291583
14.0,607,68528.00081
10.0,429,68881.070138
17.0,605,69269.619944
14.0,482,69285.328883
4.0,245,69659.645123
16.0,506,69676.34842
21.0,513,70035.702657
19.0,661,70400.752697
14.0,599,70755.405498
8.0,394,71112.478015
10.0,476,71471.121624
18.0,558,71490.807428
13.0,475,71852.133671
6.0,339,72209.913333
7.0,425,72225.313829
3.0,216,72591.465626
4.0,288,72601.375389
10.0,495,72965.514655
4.0,298,72975.060623
25.0,748,73691.198775
8.0,456,73706.597137
7.0,364,74059.009193
8.0,299,74068.217012
8.0,287,74408.891955
11.0,401,74422.377698
17.0,616,74794.784872
13.0,368,75153.24624
15.0,560,75513.319157
13.0,545,75864.358758
22.0,880,76224.592914
7.0,375,76237.117795
2.0,219,76586.5551
8.0,298,76596.437761
12.0,525,76950.541361
4.0,251,76958.273416
13.0,560,77331.960829
5.0,321,77706.934075
6.0,358,77719.67879
6.0,345,78094.499087
6.0,379,78455.726342
3.0,230,78463.535654
4.0,305,78473.762504
1.0,153,78828.705238
5.0,325,78839.153947
13.0,478,79194.040641
9.0,380,79207.098226
5.0,314,79546.582413
6.0,331,79556.743238
4.0,263,79900.49298
6.0,400,79913.735829
6.0,335,80269.54575
14.0,609,80622.266775
5.0,343,80633.279267
3.0,250,80982.749631
15.0,563,81326.404701
3.0,238,81333.49002
1.0,157,81338.214354
12.0,507,81689.407992
8.0,293,81699.289204
17.0,507,82059.603205
6.0,312,82397.369764
4.0,279,82406.567873
10.0,486,82765.713775
4.0,271,82774.551914
13.0,497,83117.694021
86191
1.0,175,6456.566057
5.0,327,6480.024087
6.0,416,6509.105869
3.0,268,6527.064622
0.0,127,6535.211684
0.0,127,6543.534748
1.0,176,6555.074734
9.0,423,6584.623925
1.0,160,6595.170343
0.0,127,6603.389767
0.0,125,6611.437392
5.0,329,6634.954696
4.0,297,6655.439466
0.0,129,6692.347643
0.0,129,6700.872645
2.0,215,6716.303435
2.0,202,6730.17178
5.0,352,6755.992207
2.0,202,6770.32013
3.0,248,6787.352397
6.0,374,6812.45229
4.0,260,6829.70993
6.0,380,6855.433716
0.0,129,6863.982398
3.0,222,6878.814973
1.0,176,6890.939156
0.0,129,6899.311084
6.0,420,6928.368639
0.0,127,6936.522962
0.0,127,6944.154113
0.0,129,6952.502427
0.0,129,6960.924538
1.0,157,6970.804379
1.0,157,6980.867052
8.0,434,7010.740058
0.0,129,7018.904644
0.0,125,7026.939157
2.0,198,7040.450721
2.0,220,7055.676112
3.0,250,7072.33423
0.0,127,7080.605819
0.0,129,7088.309675
0.0,129,7096.693312
0.0,125,7104.286551
0.0,127,7112.026918
0.0,129,7120.639658
4.0,299,7167.827612
0.0,127,7175.480152
0.0,125,7183.486692
5.0,352,7206.327665
0.0,125,7213.285717
2.0,200,7226.033057
2.0,202,7238.79222
0.0,125,7246.149143
2.0,220,7259.944509
3.0,248,7275.447858
10.0,451,7303.557152
0.0,127,7310.775191
0.0,127,7318.094017
4.0,318,7337.298326
0.0,127,7344.443233
0.0,125,7351.610027
0.0,127,7358.761327
0.0,129,7366.437744
0.0,129,7373.948996
2.0,202,7385.714039
0.0,129,7392.751301
10.0,435,7419.647277
2.0,200,7431.102801
0.0,123,7437.641978
4.0,299,7457.518902
0.0,125,7465.578618
0.0,127,7473.224109
0.0,127,7480.863876
2.0,202,7493.720348
5.0,368,7518.807189
0.0,125,7526.39941
3.0,248,7543.09466
2.0,200,7556.030497
0.0,127,7564.209018
0.0,127,7572.548196
0.0,129,7580.883729
2.0,202,7624.386198
1.0,173,7635.175551
2.0,220,7649.026846
