explained_variance,atten_decoder_loss,atten_encoder_loss,contrastive_loss,value_loss,policy_entropy,fps,nupdates,policy_loss,total_timesteps,reconstruct_loss,ep_reward_mean,ep_len_mean,total_timesteps_eval,explained_variance_eval,fps_eval,ep_reward_mean_eval,ep_len_mean_eval
-161.68418884277344,0.25792813301086426,0.021727299317717552,1.6571743488311768,0.023671384900808334,1.338167667388916,15,1,0.15573354065418243,80,0.015116327442228794,,,,,,,
-0.17297399044036865,0.18049420416355133,0.02368570864200592,1.9021968841552734,0.008290970697999,1.328986406326294,245,500,-0.04965738579630852,40000,0.01677076146006584,1.51,187.38,,,,,
0.015310823917388916,0.23600438237190247,0.023276714608073235,1.945725440979004,0.035460930317640305,1.3765058517456055,239,1000,0.051110945641994476,80000,0.017205210402607918,1.4,180.55,,,,,
,,,,,,,,,,,,,100080,-0.035070061683654785,117,,
-0.040183305740356445,0.18638527393341064,0.019141262397170067,1.9589977264404297,0.008040497079491615,1.3593099117279053,239,1,-0.03851475566625595,110080,0.017377035692334175,1.11,173.42,,,,,
0.7011554539203644,0.07669346779584885,0.01344322133809328,1.9417471885681152,5.794027674710378e-05,1.38329017162323,205,500,0.0005274476716294885,150000,0.01723344810307026,1.63,194.43,,,,,
0.006840050220489502,0.07646474242210388,0.013059730641543865,1.933290719985962,0.07347643375396729,1.3747121095657349,212,1000,0.10055843740701675,190000,0.017086008563637733,1.2,174.84,,,,,
,,,,,,,,,,,,,210080,-0.0374760627746582,544,0.9122807017543859,162.59649122807016
0.027303755283355713,0.06361088901758194,0.01340852864086628,1.9468207359313965,0.014511434361338615,1.3682211637496948,251,1,-0.06359755992889404,220080,0.017379555851221085,1.38,180.96,,,,,
0.7345103919506073,0.060572199523448944,0.01399474497884512,1.9953793287277222,9.247347043128684e-05,1.3803579807281494,222,500,-0.008390708826482296,260000,0.017504772171378136,1.58,189.31,,,,,
0.046460747718811035,0.04605359956622124,0.014628641307353973,1.972393274307251,0.0723067969083786,1.3799707889556885,218,1000,0.09204576909542084,300000,0.017485840246081352,1.3,178.4,,,,,
,,,,,,,,,,,,,320080,0.18497776985168457,431,1.25,175.96
0.05008476972579956,0.048550136387348175,0.015389764681458473,1.947795033454895,0.0037409185897558928,1.3833155632019043,198,1,-0.03388333320617676,330080,0.01726638153195381,1.4,183.41,,,,,
-0.10091745853424072,0.05197061225771904,0.018945321440696716,1.965865135192871,0.0006769085302948952,1.3659613132476807,219,500,-0.015059828758239746,370000,0.017235809937119484,1.27,176.55,,,,,
-0.02154719829559326,0.06628546863794327,0.016908971592783928,1.9772125482559204,0.0135562838986516,1.380957841873169,218,1000,-0.0522456094622612,410000,0.01740296185016632,1.53,186.49,,,,,
,,,,,,,,,,,,,430080,0.12139225006103516,341,1.13,173.76
0.11915725469589233,0.04542838782072067,0.018201429396867752,1.968573808670044,0.060577698051929474,1.381943941116333,179,1,0.06724606454372406,440080,0.01736825704574585,2.13,208.36,,,,,
0.08156251907348633,0.0335434153676033,0.020276928320527077,1.9754841327667236,0.03855566307902336,1.382351279258728,219,500,0.02978529967367649,480000,0.01746271178126335,1.32,179.93,,,,,
0.6483217775821686,0.04640332609415054,0.019433578476309776,1.9764200448989868,0.00166935077868402,1.3856229782104492,222,1000,-0.016187354922294617,520000,0.017463428899645805,1.18,175.58,,,,,
,,,,,,,,,,,,,540080,0.9037515074014664,416,1.44,186.86
0.32898300886154175,0.02790801227092743,0.02296709083020687,1.9402915239334106,0.0026022931560873985,1.3841770887374878,192,1,-0.02141905389726162,550080,0.017203710973262787,1.15,173.16,,,,,
-0.2734954357147217,0.041556887328624725,0.023589354008436203,1.994058609008789,0.00835864432156086,1.3855679035186768,215,500,-0.045113418251276016,590000,0.017509447410702705,1.58,189.54,,,,,
0.16767334938049316,0.044401589781045914,0.023473022505640984,1.9651975631713867,0.07998494803905487,1.3813129663467407,217,1000,0.10833710432052612,630000,0.017232803627848625,1.24,177.38,,,,,
,,,,,,,,,,,,,650080,0.13009488582611084,368,1.49,187.56
0.06392014026641846,0.0491347499191761,0.02656744420528412,1.9807002544403076,0.013535840436816216,1.3783135414123535,234,1,-0.00351029634475708,660080,0.017405865713953972,1.09,170.06,,,,,
0.06708794832229614,0.042165759950876236,0.03082132339477539,1.9777085781097412,0.03942731022834778,1.3692206144332886,226,500,0.01539328508079052,700000,0.017378609627485275,1.22,174.96,,,,,
0.04397869110107422,0.05851190164685249,0.02280602976679802,1.9683021306991577,0.06001091003417969,1.3828380107879639,222,1000,0.09284837543964386,740000,0.01737964153289795,1.35,182.95,,,,,
,,,,,,,,,,,,,760080,0.020688116550445557,320,1.35,179.22
0.13736361265182495,0.049330562353134155,0.027221733704209328,1.969922423362732,0.005190839059650898,1.3787028789520264,206,1,-0.008777255192399025,770080,0.017351608723402023,1.18,172.72,,,,,
0.33557629585266113,0.046527083963155746,0.02623852901160717,1.9663667678833008,0.0005053025088272989,1.385491132736206,223,500,-0.014313866384327412,810000,0.01747666485607624,1.13,172.7,,,,,
