#{"t_start": 1610715430.807552, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,445.214403
2.0,189,453.567933
0.0,129,458.700634
4.0,296,938.611198
3.0,231,947.49844
2.0,187,955.183867
0.0,123,959.619183
0.0,123,1420.523138
1.0,178,1427.251291
3.0,250,1437.426021
0.0,125,1442.166192
2.0,200,1908.573685
0.0,125,1912.899065
1.0,153,1919.262712
0.0,127,1924.349126
1.0,173,2380.834126
1.0,173,2387.855053
0.0,129,2392.964001
0.0,127,2398.388728
3.0,248,2867.347492
0.0,129,2872.57692
4.0,278,2884.075562
3.0,234,3349.689862
2.0,200,3358.085964
0.0,127,3363.274314
1.0,175,3370.677206
0.0,129,3375.919214
0.0,129,3825.39463
2.0,198,3832.994831
2.0,227,3841.954255
2.0,200,4265.396448
1.0,155,4272.114624
3.0,252,4282.377983
0.0,127,4287.29754
0.0,125,4763.856915
1.0,173,4771.00765
2.0,200,4779.04319
2.0,183,4787.125501
0.0,127,5246.941485
0.0,127,5251.355484
1.0,155,5257.566003
0.0,125,5261.96948
1.0,153,5267.945476
0.0,123,5698.87191
0.0,127,5704.075339
0.0,129,5709.190578
2.0,224,5718.273979
0.0,129,5723.39937
3.0,248,6163.830074
2.0,222,6172.659474
0.0,129,6177.701046
0.0,127,6182.270615
2.0,201,6651.662943
5.0,349,6666.787352
13.0,479,7138.057874
0.0,129,7143.11804
0.0,129,7147.825374
4.0,297,7579.300868
0.0,129,7584.984293
0.0,129,7590.135876
0.0,129,7595.563102
0.0,125,8041.519552
0.0,129,8046.366255
0.0,129,8051.353841
0.0,127,8056.58026
0.0,127,8060.939553
2.0,202,8511.600027
3.0,248,8522.405981
0.0,129,8527.60995
0.0,127,8532.651167
0.0,127,8992.866882
2.0,202,9001.529751
5.0,350,9015.302434
5.0,352,9470.087761
5.0,329,9483.888449
0.0,125,9934.098983
0.0,125,9939.173794
5.0,350,9953.819236
0.0,129,10415.823971
3.0,248,10426.782146
0.0,127,10431.920483
5.0,350,10941.140571
2.0,202,10950.229816
4.0,299,10963.968779
0.0,127,11413.680377
0.0,129,11418.681856
