#{"t_start": 1610715429.038629, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,444.827009
2.0,222,454.614895
2.0,202,463.386837
1.0,173,937.636944
0.0,129,942.631175
0.0,129,947.300083
1.0,175,954.383843
1.0,157,960.249264
0.0,127,1421.117981
0.0,127,1426.057732
0.0,127,1430.828197
2.0,200,1438.615533
3.0,246,1906.721442
0.0,129,1911.93801
1.0,153,1917.664887
0.0,127,1922.833972
0.0,129,1927.770579
0.0,129,2382.465084
3.0,234,2392.207375
3.0,232,2402.378265
0.0,129,2407.398322
1.0,157,2872.297277
1.0,155,2878.440393
2.0,202,2886.9313
3.0,234,3352.438403
0.0,127,3357.577588
2.0,204,3366.306428
0.0,129,3371.533005
0.0,127,3376.519331
1.0,171,3828.079823
0.0,127,3832.374599
1.0,174,3839.861542
1.0,173,3846.689426
0.0,125,4266.293473
3.0,269,4277.73756
1.0,155,4284.056102
0.0,129,4289.039622
0.0,129,4765.826701
0.0,127,4770.678185
0.0,127,4776.068505
2.0,184,4783.388666
0.0,129,4788.969948
2.0,202,5251.527797
1.0,155,5257.705727
4.0,296,5269.431656
0.0,127,5700.57598
0.0,129,5705.897418
1.0,157,5712.273031
2.0,204,5720.455536
1.0,175,6157.8932
1.0,176,6164.822065
0.0,127,6169.589178
1.0,174,6176.528806
0.0,129,6181.464992
0.0,129,6647.555662
1.0,157,6653.666315
0.0,127,6658.910912
7.0,322,6673.018211
0.0,127,7128.62519
2.0,202,7136.361421
11.0,481,7575.108542
5.0,328,7590.317236
0.0,127,7595.609364
0.0,127,8041.472289
0.0,129,8046.855648
0.0,125,8051.349232
4.0,297,8063.465007
2.0,202,8514.296384
0.0,129,8519.220943
0.0,125,8524.726882
2.0,202,8533.180483
0.0,123,8993.246922
3.0,268,9004.534303
14.0,505,9465.027415
2.0,184,9472.786271
3.0,248,9483.227625
9.0,404,9945.547709
0.0,129,9950.594163
1.0,176,9957.540984
0.0,125,10419.539023
0.0,127,10424.905358
5.0,350,10440.493133
2.0,202,10942.809639
0.0,127,10948.564322
0.0,127,10953.720101
0.0,127,10959.294112
5.0,350,11419.321577
2.0,202,11427.492546
3.0,248,11437.98117
4.0,301,11891.899795
5.0,350,11909.213061
0.0,127,12413.309552
0.0,127,12418.837765
0.0,129,12424.73522
0.0,129,12430.25313
2.0,202,12439.354056
2.0,198,12893.372324
5.0,350,12909.401098
0.0,125,12914.84181
5.0,350,13398.131883
2.0,202,13406.903151
0.0,129,13412.299963
0.0,129,13874.942489
2.0,202,13883.763614
0.0,129,13889.591475
0.0,127,13894.919921
9.0,404,14354.245454
0.0,129,14359.913953
2.0,202,14368.873819
2.0,202,14825.187713
0.0,127,14830.132597
0.0,127,14835.002784
2.0,202,14842.834315
4.0,318,15269.60307
2.0,202,15277.844266
0.0,127,15282.902104
1.0,172,15706.216825
5.0,338,15719.011609
0.0,129,15723.840281
0.0,127,15728.442131
0.0,127,16133.221198
0.0,129,16137.905695
8.0,372,16152.272972
0.0,129,16582.63085
0.0,127,16587.837356
0.0,129,16593.037939
5.0,350,16608.138822
5.0,372,17049.62386
4.0,299,17524.972665
0.0,127,17529.904591
0.0,129,17534.674148
0.0,129,17539.728925
0.0,127,17545.028885
0.0,129,17549.957838
0.0,129,17998.105561
5.0,350,18012.603675
0.0,127,18017.614477
4.0,296,18466.203346
2.0,202,18473.152997
0.0,129,18477.769052
1.0,173,18895.36106
7.0,430,18912.780592
10.0,431,19355.43143
0.0,125,19360.438164
0.0,127,19365.324568
5.0,350,19808.34718
4.0,297,19819.833465
3.0,250,20250.697223
5.0,350,20263.354601
0.0,127,20267.913201
0.0,127,20273.10172
0.0,127,20696.834244
0.0,127,20701.56035
0.0,127,20706.404441
4.0,321,21154.298142
6.0,397,21169.710384
0.0,127,21174.037503
0.0,127,21178.844268
4.0,297,21628.292334
0.0,127,21632.713582
2.0,198,21640.499944
2.0,207,22060.898276
0.0,129,22065.522326
5.0,350,22079.832726
4.0,297,22485.796425
3.0,248,22494.485293
2.0,202,22936.588512
0.0,127,22940.961272
2.0,202,22948.24381
4.0,297,23393.62186
0.0,129,23398.694342
4.0,299,23410.499406
0.0,127,23415.386442
1.0,173,23852.901177
0.0,129,23857.518011
5.0,350,23871.272978
0.0,127,23876.127847
4.0,299,24316.038113
0.0,129,24320.927248
2.0,202,24328.297151
2.0,202,24753.123617
0.0,129,24758.173753
0.0,129,24763.225822
2.0,202,24771.264838
2.0,202,25228.940434
9.0,402,25244.876203
0.0,125,25249.427092
9.0,404,25693.239876
0.0,129,25697.712879
5.0,350,26095.709463
2.0,206,26102.558163
3.0,230,26111.577925
1.0,178,26520.900345
0.0,129,26525.627648
1.0,178,26532.075342
0.0,127,26536.497653
3.0,246,26985.768603
4.0,297,26998.02239
0.0,129,27002.964748
3.0,248,27445.810018
3.0,251,27455.084924
3.0,248,27896.709729
0.0,129,27901.944581
0.0,129,27906.589946
0.0,129,27911.342218
0.0,129,27916.076679
6.0,400,28361.005314
6.0,377,28375.70556
0.0,127,28790.257604
0.0,129,28794.557845
1.0,173,28801.091051
1.0,157,28807.982233
2.0,201,29278.137635
2.0,202,29286.309812
5.0,350,29301.101351
5.0,350,29748.684764
0.0,129,29753.232562
4.0,297,30180.638083
0.0,127,30185.228634
0.0,125,30189.78004
5.0,350,30633.297407
0.0,125,30638.403351
2.0,202,30646.191497
2.0,202,30653.661693
3.0,246,31106.617059
1.0,178,31113.854777
3.0,218,31123.288038
0.0,125,31128.020258
2.0,204,31536.939298
0.0,127,31541.525989
2.0,202,31549.042242
2.0,198,31947.870389
0.0,125,31952.356816
1.0,157,31957.847419
2.0,183,31964.207774
1.0,155,31969.910588
1.0,174,32378.325523
1.0,157,32384.225646
0.0,127,32388.886818
1.0,155,32394.565325
2.0,202,32780.308139
2.0,202,32788.552577
1.0,155,32794.557961
0.0,127,32799.18546
2.0,203,33247.518043
4.0,279,33258.753539
2.0,202,33266.301496
0.0,125,33670.998245
5.0,350,33684.043258
0.0,129,33688.754527
6.0,377,34070.904659
0.0,129,34074.973111
0.0,129,34079.656406
9.0,404,34487.61094
0.0,127,34492.532073
1.0,157,34498.263531
1.0,177,34505.158319
1.0,157,34914.597125
4.0,297,34927.294975
0.0,127,34932.020344
9.0,404,35355.717504
5.0,350,35368.652965
1.0,155,35772.871933
1.0,157,35778.655606
2.0,209,35785.680131
3.0,271,36173.423983
10.0,452,36190.523677
9.0,404,36589.707099
0.0,129,36593.748418
5.0,311,37011.038369
2.0,227,37020.750854
2.0,202,37029.143407
0.0,129,37034.272255
1.0,151,37448.038587
1.0,176,37454.023327
0.0,125,37459.094673
1.0,154,37464.013458
4.0,297,37863.262867
9.0,404,37877.30807
4.0,304,38271.076427
2.0,221,38279.097476
7.0,250,38661.030811
7.0,415,38676.745725
8.0,449,39113.028878
2.0,185,39120.038607
7.0,426,39527.34144
3.0,218,39535.740911
1.0,176,39541.708356
0.0,127,39926.64411
11.0,439,39942.717206
2.0,186,40337.866941
9.0,404,40353.169367
2.0,202,40729.045555
2.0,224,40736.579836
3.0,226,40744.290947
2.0,205,41139.636499
3.0,232,41148.252923
5.0,309,41159.56589
2.0,204,41547.741579
1.0,157,41553.385754
1.0,173,41558.754427
0.0,123,41562.872802
5.0,286,41942.456716
7.0,418,41956.411098
0.0,127,42332.553542
10.0,451,42348.373693
1.0,172,42721.648591
8.0,391,42735.358674
4.0,282,43136.350393
7.0,445,43152.271384
5.0,346,43542.073785
4.0,264,43550.606157
8.0,372,43942.649675
0.0,127,43946.673174
2.0,187,43953.790699
4.0,278,44338.797343
1.0,173,44344.626931
1.0,155,44350.319676
0.0,127,44354.618611
1.0,155,44360.092521
4.0,297,44744.639514
5.0,350,44757.626651
8.0,430,45158.671181
5.0,312,45544.165572
4.0,258,45554.157531
7.0,446,45949.091602
3.0,214,45957.490589
4.0,298,45968.868991
14.0,556,46366.39823
5.0,327,46752.379857
0.0,127,46756.643533
4.0,260,46766.660058
2.0,227,47157.576082
2.0,205,47164.776687
10.0,433,47557.24899
4.0,294,47568.197949
2.0,187,47574.502069
9.0,404,47964.763326
0.0,127,47968.485275
4.0,262,48353.906575
10.0,431,48370.270986
11.0,481,48759.984721
1.0,157,48765.386768
5.0,323,49148.383195
4.0,260,49157.451855
4.0,299,49555.189706
5.0,289,49565.93827
2.0,189,49572.787474
9.0,346,49950.94962
4.0,272,49960.516624
2.0,188,50348.292553
10.0,446,50365.268225
