#{"t_start": 1610715430.2214754, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,443.833891
3.0,272,455.961289
0.0,127,461.021806
2.0,185,935.979781
0.0,123,940.724267
1.0,171,947.035338
2.0,185,954.67636
0.0,125,959.230992
0.0,129,1420.18279
2.0,202,1428.027923
1.0,173,1434.760701
0.0,129,1439.85034
2.0,200,1906.013117
4.0,320,1919.248525
1.0,155,1925.548824
8.0,395,2391.914496
2.0,202,2400.713411
3.0,255,2869.799252
0.0,129,2875.241016
1.0,155,2881.143782
1.0,173,2888.471624
0.0,127,3349.113713
1.0,157,3355.605111
4.0,281,3367.728378
3.0,274,3823.863661
2.0,199,3831.475934
0.0,127,3836.628865
2.0,206,3845.032389
0.0,127,4264.843304
4.0,285,4277.133794
3.0,275,4288.465795
2.0,184,4767.519272
2.0,205,4776.406253
3.0,248,4786.921133
4.0,263,5252.440514
1.0,157,5258.469663
2.0,187,5265.590591
0.0,127,5270.305965
0.0,127,5701.706572
0.0,125,5706.66095
1.0,176,5713.68147
0.0,127,5718.738065
0.0,129,5723.863591
5.0,352,6168.655264
0.0,129,6173.670518
0.0,127,6178.601279
4.0,301,6651.972392
0.0,129,6657.162133
0.0,129,6662.468386
2.0,200,6670.942715
2.0,207,7130.081103
0.0,129,7134.618368
0.0,127,7140.090348
5.0,350,7572.659761
4.0,301,7586.731908
5.0,329,8042.0833
0.0,125,8046.732857
0.0,127,8051.643009
5.0,350,8508.303982
0.0,127,8513.595242
0.0,127,8518.505939
0.0,127,8524.005023
0.0,125,8528.920217
9.0,404,9001.829811
2.0,202,9009.481134
2.0,202,9017.107007
9.0,424,9475.352489
5.0,350,9935.361869
0.0,127,9940.505697
0.0,127,9945.444678
0.0,125,9950.207681
0.0,129,9955.227417
2.0,202,10420.785763
2.0,198,10429.38187
0.0,129,10434.632343
0.0,125,10439.86534
0.0,129,10938.830674
0.0,125,10944.25571
0.0,127,10949.556219
9.0,404,10968.018158
0.0,127,11417.747068
0.0,129,11422.593081
0.0,125,11427.580242
3.0,271,11439.079313
0.0,129,11884.484868
1.0,176,11892.957496
5.0,350,11910.285474
2.0,198,12417.536649
2.0,202,12426.89025
0.0,127,12432.086832
2.0,202,12887.115203
2.0,202,12895.668472
0.0,127,12900.893433
0.0,129,12906.413593
5.0,350,13389.89319
0.0,127,13395.543359
2.0,198,13403.697791
0.0,125,13409.323957
4.0,277,13878.947548
5.0,350,13895.03814
2.0,202,14344.615819
5.0,350,14361.025388
0.0,129,14366.452215
5.0,350,14829.343144
5.0,350,14843.482348
0.0,127,15261.895114
0.0,125,15266.705919
2.0,202,15275.154952
5.0,350,15706.26958
0.0,129,15710.592691
0.0,129,15715.216392
0.0,129,15720.162751
0.0,125,15724.368262
0.0,127,16129.359254
0.0,129,16133.842756
5.0,350,16147.553385
5.0,350,16587.497082
0.0,127,16592.547217
0.0,127,16597.798615
2.0,202,16606.110543
0.0,127,17037.707203
0.0,125,17042.005278
9.0,380,17057.311005
4.0,297,17532.711343
1.0,176,17539.92305
0.0,129,17545.334039
0.0,129,17550.21855
0.0,127,17998.219026
0.0,129,18002.99472
2.0,202,18011.278531
0.0,125,18016.204492
9.0,404,18468.96917
2.0,202,18476.095756
0.0,129,18480.622946
0.0,127,18896.581257
9.0,404,18912.979855
2.0,198,19345.687954
0.0,129,19350.784916
9.0,404,19367.333352
0.0,127,19801.948647
1.0,176,19807.953037
0.0,125,19812.998353
3.0,248,19822.01325
0.0,129,20248.065295
0.0,127,20252.5007
1.0,155,20257.858444
0.0,127,20261.764935
0.0,129,20266.343037
1.0,157,20691.749166
5.0,350,20706.068071
4.0,299,21152.944195
9.0,380,21167.817758
0.0,129,21172.017107
0.0,127,21176.832813
0.0,127,21619.16257
1.0,156,21625.08083
0.0,125,21629.728868
2.0,202,21637.478837
2.0,223,22058.467764
8.0,374,22073.539785
4.0,297,22480.390631
0.0,129,22484.444859
5.0,350,22497.037389
0.0,127,22936.274213
4.0,319,22948.153247
0.0,127,22952.59692
1.0,175,23393.335757
2.0,225,23402.207813
0.0,127,23406.590339
0.0,125,23411.542185
0.0,129,23416.530201
0.0,125,23851.991297
2.0,202,23859.921463
6.0,396,24303.70479
0.0,127,24308.645427
9.0,404,24324.691348
2.0,202,24748.634068
0.0,125,24753.599298
10.0,452,24772.435431
1.0,155,25228.271843
2.0,202,25235.887463
3.0,246,25245.390239
0.0,127,25678.164003
0.0,129,25682.816797
1.0,154,25688.190225
0.0,129,25693.260195
10.0,435,26094.393889
2.0,200,26100.989786
2.0,202,26108.765593
4.0,299,26523.070882
0.0,127,26528.012952
0.0,125,26531.956944
0.0,129,26536.560247
0.0,125,26980.614012
2.0,222,26989.553998
0.0,127,26994.347431
0.0,129,26999.568633
5.0,350,27446.773411
0.0,127,27450.972016
0.0,125,27455.529285
2.0,222,27895.979115
0.0,129,27901.160426
1.0,155,27906.887771
2.0,202,27914.621792
0.0,129,27919.242869
0.0,129,28353.120834
2.0,200,28360.784225
1.0,155,28366.899534
0.0,127,28371.225863
2.0,187,28787.949764
5.0,350,28801.659429
3.0,248,29274.162923
0.0,127,29279.378604
4.0,277,29290.923465
