explained_variance,atten_decoder_loss,atten_encoder_loss,nupdates,reconstruct_loss,fps,policy_loss,contrastive_loss,total_timesteps,value_loss,policy_entropy,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_len_mean_eval,ep_reward_mean_eval
-106.12519836425781,0.29361820220947266,0.020680170506238937,1,0.015321582555770874,15,0.11862511932849884,1.6030160188674927,80,0.040402282029390335,0.9925883412361145,,,,,,,
0.02771890163421631,0.3341073989868164,0.02047584392130375,500,0.01703895814716816,266,-0.013234431855380535,1.9169507026672363,40000,0.014739543199539185,1.1931060552597046,189.51,1.56,,,,,
-0.0026884078979492188,0.27022066712379456,0.02161441370844841,1000,0.017321428284049034,271,0.03879596292972565,1.9707014560699463,80000,0.07891684025526047,1.364358901977539,184.47,1.4,,,,,
,,,,,,,,,,,,,100080,168,-7.3103437423706055,,
0.009756922721862793,0.02858673594892025,0.024919545277953148,1,0.017352096736431122,323,-0.010918349027633667,1.9610583782196045,110080,0.00062469148542732,1.364990472793579,171.96,1.16,,,,,
0.0029854774475097656,0.013259422965347767,0.01598932035267353,500,0.017519108951091766,253,-0.03191450238227844,1.9907329082489014,150000,0.017165500670671463,1.3752208948135376,170.71,1.23,,,,,
0.001015007495880127,0.01667024753987789,0.0005000555538572371,1000,0.01734868995845318,253,0.044079918414354324,1.9884415864944458,190000,0.06273307651281357,1.3781859874725342,168.4,1.07,,,,,
,,,,,,,,,,,,,210080,399,0.0006231069564819336,172.8490566037736,1.1132075471698113
-0.00014710426330566406,0.020468315109610558,9.377657988807186e-05,1,0.017292167991399765,261,-0.01848791539669037,1.991598129272461,220080,0.0014126405585557222,1.3825807571411133,162.67,0.94,,,,,
1.1622905731201172e-05,0.017674805596470833,0.00032692018430680037,500,0.017250536009669304,250,-0.018132727593183517,1.9862563610076904,260000,0.07706868648529053,1.3846155405044556,171.06,1.16,,,,,
-0.00549006462097168,0.017665037885308266,0.00038005702663213015,1000,0.01714029163122177,250,-0.050583891570568085,1.987738847732544,300000,0.007025240920484066,1.3842699527740479,183.18,1.44,,,,,
,,,,,,,,,,,,,320080,394,0.0001774430274963379,182.57,1.4
-0.06662225723266602,0.019876711070537567,9.185363160213456e-05,1,0.017430709674954414,304,-0.0035664276219904423,1.999634027481079,330080,8.468067790090572e-06,1.3851348161697388,174.22,1.18,,,,,
0.00024318695068359375,0.01671605370938778,0.00023745527141727507,500,0.01744495891034603,276,0.013780024833977222,1.9996930360794067,370000,0.026119928807020187,1.3846241235733032,187.18,1.55,,,,,
-0.005559563636779785,0.01857003942131996,0.00010168745939154178,1000,0.017448561266064644,276,-0.01210952177643776,2.0006651878356934,410000,0.00076112529495731,1.38507080078125,192.75,1.61,,,,,
,,,,,,,,,,,,,430080,463,-0.004905819892883301,183.48,1.45
-0.01017904281616211,0.014568204060196877,4.882812845607987e-06,1,0.017366761341691017,248,-0.05227994918823242,1.999525547027588,440080,0.006587181240320206,1.3854241371154785,178.1,1.24,,,,,
-0.00342714786529541,0.016672072932124138,4.360332604846917e-05,500,0.01736813224852085,249,-0.01574743166565895,1.9944453239440918,480000,0.0012147655943408608,1.3855884075164795,180.76,1.3,,,,,
0.00020438432693481445,0.020175937563180923,0.0002421578683424741,1000,0.017274053767323494,250,-0.0002051467017736286,1.9929155111312866,520000,0.028227707371115685,1.382550835609436,187.85,1.56,,,,,
,,,,,,,,,,,,,540080,376,-0.001680612564086914,182.98,1.42
-7.510185241699219e-06,0.01951679028570652,1.4648438082076609e-05,1,0.01732795685529709,245,-0.0034847576171159744,1.9943740367889404,550080,0.028626278042793274,1.3828853368759155,178.47,1.3,,,,,
-0.0037764310836791992,0.015845438465476036,0.00011006308341166005,500,0.01727766916155815,248,-0.019169239327311516,1.9959356784820557,590000,0.0011520885163918138,1.3836785554885864,181.7,1.4,,,,,
