#{"t_start": 1611042787.0824351, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,29.217071
0.0,127,35.969784
0.0,125,42.706751
2.0,185,53.386928
3.0,215,65.43622
0.0,127,72.168382
0.0,127,79.038099
0.0,127,85.693123
2.0,203,96.911049
1.0,155,105.474628
0.0,127,112.090115
0.0,129,119.191015
0.0,127,126.127164
1.0,175,135.614557
0.0,129,142.587329
2.0,200,153.539696
1.0,173,162.768373
1.0,171,172.029815
0.0,129,178.8652
2.0,221,191.214598
2.0,202,202.243092
1.0,157,210.800964
0.0,125,217.223629
3.0,238,230.440414
0.0,127,237.381052
