#{"t_start": 1611042783.635463, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,32.941638
1.0,175,42.769706
2.0,187,53.395955
0.0,125,60.260273
3.0,215,72.253873
2.0,203,83.666187
1.0,171,92.729781
0.0,129,99.680232
2.0,202,111.032498
1.0,155,119.664488
1.0,153,128.019799
1.0,169,137.253747
0.0,127,143.974049
1.0,155,152.213727
0.0,127,159.021767
0.0,129,165.696828
1.0,177,175.321956
2.0,225,187.872929
8.0,300,204.769994
2.0,202,215.927173
0.0,129,222.721544
0.0,125,229.233102
1.0,174,238.754842
0.0,129,245.694639
3.0,250,259.551043
1.0,155,268.00021
0.0,129,274.955062
2.0,219,287.003047
0.0,129,293.743946
